sample_date,spp,age,Rep,date,context,WD kg/m3,leaf_area_mm2,SLAmm2mg,C%,N%,P%,notes,leaf_mass_mg,LM/SM80,LMF80,duplicate,d13C_bark,C%_bark,d15N_bark,N%_bark,d13C_wood,C%_wood,d15N_wood,N%_wood,Al,B,calcium,Cu,Fe,K,Mg,Mn,Na,S,Zn,Asat_area (micromol/m2/s),gsw (mol/m2/s),Ci,Ca,CiCa ratio,Tleaf,DBH,CBH,SLA_photosynthesis_mm2mg,Amass,date_WD,Bark thickness (mm),Bark area (cm2),Pith diam (mm),N(%)_leaf,LMA_leaf_isotope_gm2,gas_d15N_leaf,gas_ d13C_leaf,Species
09/24/10,AcaDif,adult,1,dry season (Sep 2010),dry_season_measurement_on_adult,590,3441,8.5,49.87,1.799,0.06099,NA,406,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia difficilis
09/24/10,AcaDif,adult,2,dry season (Sep 2010),dry_season_measurement_on_adult,620,2756,8.5,50.93,1.614,0.05652,NA,326,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia difficilis
09/24/10,AcaDif,adult,10,dry season (Sep 2010),dry_season_measurement_on_adult,540,3585,8.8,49.73,1.615,0.05024,NA,409,0.7394,0.4251,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia difficilis
09/24/10,AcaDif,adult,11,dry season (Sep 2010),dry_season_measurement_on_adult,620,3564,9.1,50.5,1.521,0.05793,NA,389.6666667,1.7047,0.6303,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia difficilis
09/24/10,AcaDif,adult,12,dry season (Sep 2010),dry_season_measurement_on_adult,580,3678,9.4,49.58,1.252,0.04243,NA,390.6666667,1.121,0.5285,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia difficilis
09/27/10,AcaLat,adult,1,dry season (Sep 2010),dry_season_measurement_on_adult,600,2675,8.2,51.5,2.506,0.06625,NA,327.3333333,2.6552,0.7264,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia latescens
09/27/10,AcaLat,adult,2,dry season (Sep 2010),dry_season_measurement_on_adult,490,2157,8.5,53.84,2.04,0.05219,NA,253.6666667,2.8991,0.7435,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia latescens
09/27/10,AcaLat,adult,3,dry season (Sep 2010),dry_season_measurement_on_adult,460,2662,9.8,50.74,2.513,0.08439,NA,271.6666667,1.9335,0.6591,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia latescens
09/27/10,AcaLat,adult,4,dry season (Sep 2010),dry_season_measurement_on_adult,620,2406,8,52.43,1.841,0.05324,NA,299.3333333,1.5546,0.6085,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia latescens
09/27/10,AcaLat,adult,5,dry season (Sep 2010),dry_season_measurement_on_adult,620,3139,7.5,51.94,2.328,0.04177,NA,418.6666667,1.4492,0.5917,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia latescens
09/27/10,AcaLat,adult,6,dry season (Sep 2010),dry_season_measurement_on_adult,580,NA,NA,NA,NA,NA,NA,NA,1.4936,0.599,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia latescens
09/27/10,AcaLat,sapling,3,dry season (Sep 2010),dry_season_measurement_on_sapling,510,2490,10.9,49.23,2.413,0.08957,NA,228.6666667,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia latescens
09/27/10,AcaLat,sapling,5,dry season (Sep 2010),dry_season_measurement_on_sapling,590,2853,7.6,50.49,2.043,0.03676,NA,373,2.5645,0.7195,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia latescens
09/29/10,AcaLat,sapling,60,dry season (Sep 2010),dry_season_measurement_on_sapling,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia latescens
09/29/10,AcaLat,sapling,61,dry season (Sep 2010),dry_season_measurement_on_sapling,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia latescens
09/29/10,AcaLat,sapling,62,dry season (Sep 2010),dry_season_measurement_on_sapling,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia latescens
09/23/10,AcaMim,adult,1,dry season (Sep 2010),dry_season_measurement_on_adult,680,1938,7.1,50.81,1.987,0.03425,NA,274,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia mimula
09/23/10,AcaMim,adult,2,dry season (Sep 2010),dry_season_measurement_on_adult,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia mimula
09/23/10,AcaMim,adult,3,dry season (Sep 2010),dry_season_measurement_on_adult,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia mimula
09/23/10,AcaMim,adult,4,dry season (Sep 2010),dry_season_measurement_on_adult,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia mimula
09/23/10,AcaMim,adult,6,dry season (Sep 2010),dry_season_measurement_on_adult,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia mimula
09/27/10,AcaMim,sapling,1,dry season (Sep 2010),dry_season_measurement_on_sapling,600,3668,6.2,51.94,2.176,0.03494,NA,589.3333333,2.192,0.6867,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia mimula
09/23/10,AcaMim,sapling,3,dry season (Sep 2010),dry_season_measurement_on_sapling,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia mimula
09/24/10,AcaMim,sapling,4,dry season (Sep 2010),dry_season_measurement_on_sapling,670,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia mimula
09/24/10,AcaMim,sapling,10,dry season (Sep 2010),dry_season_measurement_on_sapling,650,2661,6.5,51.3,2.203,0.0382,NA,411.3333333,1.7397,0.635,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia mimula
09/24/10,AcaMim,sapling,11,dry season (Sep 2010),dry_season_measurement_on_sapling,610,2761,6.7,52.33,2.135,0.03251,NA,409.3333333,1.432,0.5888,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia mimula
09/27/10,AcaMim,sapling,12,dry season (Sep 2010),dry_season_measurement_on_sapling,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia mimula
09/24/10,BucObo,adult,1,dry season (Sep 2010),dry_season_measurement_on_adult,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buchanania obovata
09/24/10,BucObo,adult,2,dry season (Sep 2010),dry_season_measurement_on_adult,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buchanania obovata
09/24/10,BucObo,adult,3,dry season (Sep 2010),dry_season_measurement_on_adult,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buchanania obovata
09/29/10,BucObo,adult,50,dry season (Sep 2010),dry_season_measurement_on_adult,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buchanania obovata
09/24/10,BucObo,sapling,1,dry season (Sep 2010),dry_season_measurement_on_sapling,340,NA,NA,NA,NA,NA,NA,NA,0.4143,0.293,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buchanania obovata
09/24/10,BucObo,sapling,2,dry season (Sep 2010),dry_season_measurement_on_sapling,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buchanania obovata
09/24/10,BucObo,sapling,10,dry season (Sep 2010),dry_season_measurement_on_sapling,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buchanania obovata
09/24/10,BucObo,sapling,11,dry season (Sep 2010),dry_season_measurement_on_sapling,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buchanania obovata
09/24/10,BucObo,sapling,12,dry season (Sep 2010),dry_season_measurement_on_sapling,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buchanania obovata
09/29/10,BucObo,sapling,50,dry season (Sep 2010),dry_season_measurement_on_sapling,370,21938,5.7,44.9,0.6655,0.04897,NA,3830,0.5446,0.3526,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buchanania obovata
09/23/10,CorBle,adult,1,dry season (Sep 2010),dry_season_measurement_on_adult,640,NA,NA,NA,NA,NA,NA,NA,1.6884,0.628,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia bleeseri
09/23/10,CorBle,adult,3,dry season (Sep 2010),dry_season_measurement_on_adult,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia bleeseri
09/23/10,CorBle,adult,4,dry season (Sep 2010),dry_season_measurement_on_adult,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia bleeseri
09/29/10,CorBle,adult,60,dry season (Sep 2010),dry_season_measurement_on_adult,660,NA,NA,NA,NA,NA,NA,NA,1.0875,0.521,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia bleeseri
09/29/10,CorBle,adult,61,dry season (Sep 2010),dry_season_measurement_on_adult,650,NA,NA,NA,NA,NA,NA,NA,1.5071,0.6011,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia bleeseri
09/23/10,CorBle,sapling,1,dry season (Sep 2010),dry_season_measurement_on_sapling,690,2493,5.3,48.84,0.6596,0.03113,NA,468.6666667,1.3061,0.5664,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia bleeseri
09/23/10,CorBle,sapling,2,dry season (Sep 2010),dry_season_measurement_on_sapling,610,2378,6.9,48.44,0.9481,0.07836,NA,342.6666667,0.9548,0.4884,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia bleeseri
09/23/10,CorBle,sapling,3,dry season (Sep 2010),dry_season_measurement_on_sapling,660,NA,NA,NA,NA,NA,NA,NA,0.9481,0.4867,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia bleeseri
09/23/10,CorBle,sapling,4,dry season (Sep 2010),dry_season_measurement_on_sapling,510,NA,NA,NA,NA,NA,NA,NA,1.5378,0.606,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia bleeseri
09/23/10,CorBle,sapling,5,dry season (Sep 2010),dry_season_measurement_on_sapling,630,NA,NA,NA,NA,NA,NA,NA,0.8569,0.4615,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia bleeseri
09/23/10,CorBle,sapling,6,dry season (Sep 2010),dry_season_measurement_on_sapling,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia bleeseri
09/24/10,CorBle,sapling,10,dry season (Sep 2010),dry_season_measurement_on_sapling,570,2293,6,48.95,0.594,0.04276,NA,382.3333333,1.4032,0.5839,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia bleeseri
09/23/10,CorPor,adult,1,dry season (Sep 2010),dry_season_measurement_on_adult,620,5266,5.7,48.04,0.6246,0.04321,NA,928,1.7945,0.6422,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia porrecta
09/23/10,CorPor,adult,3,dry season (Sep 2010),dry_season_measurement_on_adult,660,2893,6,48.35,0.7534,0.04867,NA,484,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia porrecta
09/23/10,CorPor,adult,5,dry season (Sep 2010),dry_season_measurement_on_adult,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia porrecta
09/29/10,CorPor,adult,41,dry season (Sep 2010),dry_season_measurement_on_adult,510,4427,6.2,48.29,0.7021,0.04074,NA,713.3333333,2.0417,0.6712,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia porrecta
09/29/10,CorPor,adult,60,dry season (Sep 2010),dry_season_measurement_on_adult,530,NA,NA,NA,NA,NA,NA,NA,1.0557,0.5136,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia porrecta
09/29/10,CorPor,adult,61,dry season (Sep 2010),dry_season_measurement_on_adult,530,NA,NA,NA,NA,NA,NA,NA,1.7992,0.6428,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia porrecta
09/23/10,CorPor,sapling,1,dry season (Sep 2010),dry_season_measurement_on_sapling,520,5769,7.4,49.79,0.7705,0.05413,NA,779,2.4554,0.7106,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia porrecta
09/23/10,CorPor,sapling,2,dry season (Sep 2010),dry_season_measurement_on_sapling,670,8150,10.4,48.08,0.8546,0.05051,NA,787,1.2816,0.5617,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia porrecta
09/23/10,CorPor,sapling,3,dry season (Sep 2010),dry_season_measurement_on_sapling,580,4610,4.9,47.93,0.6391,0.03661,NA,944.3333333,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia porrecta
09/23/10,CorPor,sapling,4,dry season (Sep 2010),dry_season_measurement_on_sapling,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corymbia porrecta
09/24/10,EryChl,adult,10,dry season (Sep 2010),dry_season_measurement_on_adult,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erythrophloem chlorostachys
09/24/10,EryChl,adult,11,dry season (Sep 2010),dry_season_measurement_on_adult,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erythrophloem chlorostachys
09/24/10,EryChl,adult,12,dry season (Sep 2010),dry_season_measurement_on_adult,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erythrophloem chlorostachys
09/24/10,EryChl,adult,13,dry season (Sep 2010),dry_season_measurement_on_adult,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erythrophloem chlorostachys
09/24/10,EryChl,adult,14,dry season (Sep 2010),dry_season_measurement_on_adult,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erythrophloem chlorostachys
09/24/10,EryChl,adult,15,dry season (Sep 2010),dry_season_measurement_on_adult,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erythrophloem chlorostachys
09/23/10,EryChl,sapling,1,dry season (Sep 2010),dry_season_measurement_on_sapling,540,3694,9.3,50.26,1.819,0.04543,leaflets,397.3333333,0.5437,0.3522,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erythrophloem chlorostachys
09/24/10,EryChl,sapling,2,dry season (Sep 2010),dry_season_measurement_on_sapling,590,1857,8.4,50.48,2.109,0.06086,leaflets,222,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erythrophloem chlorostachys
09/23/10,EryChl,sapling,3,dry season (Sep 2010),dry_season_measurement_on_sapling,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erythrophloem chlorostachys
