Species,Date,Day,Temp,CO2,Water,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),Trmmol (mmol m-2 s-1),VpdL (kPa),CiCa,Rdark (umol m-2 s-1),date_carbo,leaf_soluble_sugar_mg_per_g,leaf_soluble_starch_mg_per_g,stem_soluble_sugar_mg_per_g,stem_soluble_starch_mg_per_g,root_soluble_sugar_mg_per_g,root_soluble_starch_mg_per_g,date_biomass,Height (cm),BasalDia1 (mm),BasalDia2 (mm),LA (cm-2),leafDW (g),stemDW (g),rootDW (g),root_shoot_ratio,leaf_area_ratio_cm2_g,specific_leaf_area_cm2_g,sample_day,context
Callitris rhomboidea,3/04/2012,9,Amb,400,Wet,559,7.20911397,0.091579568,249.3977177,1.666305343,1.856451853,NA,0.584479207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_9
Callitris rhomboidea,3/04/2012,9,Amb,400,Wet,544,6.655716974,0.067077177,216.4163491,1.286106905,1.948324346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_9
Callitris rhomboidea,3/04/2012,9,Amb,640,Wet,649,14.85852656,0.124383819,401.5401071,2.394275108,1.98359986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Amb_temp_and_640_ppm_CO2_with_Wet_treatment_and_measured_at_day_9
Callitris rhomboidea,3/04/2012,9,Amb,640,Wet,647,12.97716436,0.104003457,398.5807709,1.772896732,1.743997271,NA,0.43857319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Amb_temp_and_640_ppm_CO2_with_Wet_treatment_and_measured_at_day_9
Callitris rhomboidea,3/04/2012,9,Elv,640,Dry,347,7.74228206,0.066699839,416.7471955,1.632453703,2.451586153,NA,1.089919412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_9
Callitris rhomboidea,3/04/2012,9,Elv,640,Dry,342,11.36780426,0.082303667,373.5682241,2.170209332,2.65507252,NA,1.233824688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_9
Callitris rhomboidea,3/04/2012,9,Elv,640,Dry,348,9.134183924,0.063972873,370.7531101,1.758656489,2.752849045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_9
Callitris rhomboidea,3/04/2012,9,Elv,400,Dry,455,7.045191779,0.100442434,260.5245066,2.341104884,2.371277348,NA,1.013678472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_9
Callitris rhomboidea,3/04/2012,9,Elv,400,Dry,458,5.679382312,0.072586206,247.7014522,2.113514074,2.918416532,NA,1.27614254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_9
Callitris rhomboidea,3/04/2012,9,Elv,400,Dry,452,6.686610856,0.108349003,272.6684471,2.748694162,2.586500663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_9
Callitris rhomboidea,3/04/2012,9,Elv,400,Dry,442,5.644043831,0.059209725,222.6198512,1.484551198,2.507780478,NA,1.207873296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_9
Callitris rhomboidea,26/03/2012,1,Amb,400,Dry,542,9.96987206,0.162068714,272.4537449,2.581420438,1.683602894,0.706870473,1.140776251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Amb,400,Dry,549,8.852855609,0.131069224,263.3019203,2.477843198,1.966435245,0.680871659,0.929628761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Amb,400,Dry,543,11.42178245,0.167299345,258.2136026,2.725031796,1.719329895,0.674508969,1.049453468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Amb,400,Dry,541,8.330985063,0.094292214,229.6613244,1.987605745,2.161559418,0.594175994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Amb,640,Dry,652,14.53403913,0.14195441,431.1791373,2.215783683,1.62910034,NA,1.12550747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Amb,640,Dry,654,14.29769367,0.155673476,450.5652035,2.16830506,1.464601433,NA,1.078628673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Amb,640,Dry,660,11.08022212,0.110446826,440.0656538,1.954344018,1.829740687,NA,1.082350957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Amb,640,Dry,658,12.66929595,0.135596296,447.7316175,2.20825553,1.694763334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Elv,640,Dry,351,10.64581437,0.055681028,291.3927635,1.517066144,2.730155083,NA,0.713893913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Elv,640,Dry,347,9.5795712,0.058607613,338.86650529999997,1.545338966,2.647307598,NA,0.973654132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Elv,640,Dry,342,9.565653216,0.063123856,357.5781128,1.516679759,2.41547931,NA,1.24568712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Elv,640,Dry,348,9.016840835,0.05775799,351.8284353,1.491239783,2.596134433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Elv,400,Dry,455,9.018488218,0.158078505,276.2119492,3.373893463,2.229555446,NA,1.15751059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Elv,400,Dry,458,5.91443853,0.07363285,244.1233322,2.015539342,2.759408707,NA,1.136335959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Elv,400,Dry,452,9.410613093,0.166032693,278.1435095,3.242241072,2.047747873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Elv,400,Dry,442,6.312473708,0.077791162,245.4655053,1.689076163,2.202022946,NA,1.438923213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Amb,400,Wet,546,8.297136852,0.11276915,257.056455,1.692426636,1.556306262,0.663261978,0.835566097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Amb,400,Wet,545,8.506337827,0.134271227,272.3913302,2.115581638,1.644345122,0.703268258,1.02093455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Amb,400,Wet,559,9.363694069,0.127278049,252.2091976,2.464637739,2.011612346,0.654083776,1.097894433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Amb,400,Wet,544,9.943055654,0.120393729,237.1441424,2.160930904,1.862737513,0.617137278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Amb,640,Wet,649,14.18497126,0.133082518,423.5127066,2.528488209,1.978175524,NA,1.378809952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Amb_temp_and_640_ppm_CO2_with_Wet_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Amb,640,Wet,647,13.40576959,0.13464359,441.2671002,1.735829085,1.346104167,NA,1.004595812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Amb_temp_and_640_ppm_CO2_with_Wet_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Amb,640,Wet,646,13.27614172,0.126003479,426.5942807,2.344074026,1.925491532,NA,0.928779838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Amb_temp_and_640_ppm_CO2_with_Wet_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Amb,640,Wet,656,13.3384033,0.118861377,417.3795254,2.053743531,1.787915447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Amb_temp_and_640_ppm_CO2_with_Wet_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Amb,640,Wet,656,13.3384033,0.118861377,417.3795254,2.053743531,1.787915447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Amb_temp_and_640_ppm_CO2_with_Wet_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Elv,640,Wet,343,10.99784725,0.085228347,390.1163528,1.972709051,2.345256709,NA,1.077892689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Elv_temp_and_640_ppm_CO2_with_Wet_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Elv,640,Wet,355,8.052718643,0.037261936,257.7476503,1.026667754,2.737931763,NA,1.029419532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Elv_temp_and_640_ppm_CO2_with_Wet_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Elv,640,Wet,346,10.41824797,0.082924985,398.642869,1.805401099,2.207505218,NA,1.271462573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Elv_temp_and_640_ppm_CO2_with_Wet_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Elv,640,Wet,356,10.87930992,0.073570614,361.0201813,1.822385015,2.507269397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Elv_temp_and_640_ppm_CO2_with_Wet_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Elv,400,Wet,446,10.45827218,0.165491391,264.7695372,3.500071413,2.214738339,NA,1.114604176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Elv_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Elv,400,Wet,454,6.210461553,0.064755337,221.2103993,1.577309497,2.451689382,NA,0.920848765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Elv_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Elv,400,Wet,457,7.348995285,0.127911614,280.9094575,2.523946392,2.040470635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Elv_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_1
Callitris rhomboidea,26/03/2012,1,Elv,400,Wet,441,5.654918857,0.057014052,218.015874,1.361298889,2.398856396,NA,0.894902156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_1,grown_at_Elv_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_1
Callitris rhomboidea,3/04/2012,9,Amb,400,Dry,542,12.3260453,0.15465305,235.7577418,3.041710251,2.056661493,NA,1.221542546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_9
Callitris rhomboidea,3/04/2012,9,Amb,400,Dry,543,11.36251304,0.161016087,254.1727242,2.654851557,1.74344601,NA,0.870566191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_9
Callitris rhomboidea,3/04/2012,9,Amb,400,Dry,541,8.168475493,0.10805018500000001,252.3516404,1.8898708,1.798628991,NA,0.489182185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_9
Callitris rhomboidea,3/04/2012,9,Amb,640,Dry,660,15.08434788,0.111967672,376.1819433,2.193969077,2.009584768,NA,0.927655244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_9
Callitris rhomboidea,3/04/2012,9,Amb,640,Dry,652,13.30932104,0.135104764,442.0199943,1.826102338,1.40172553,NA,1.077660365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_9
Callitris rhomboidea,3/04/2012,9,Amb,640,Dry,654,13.31861303,0.111350702,405.2858719,2.014263209,1.850168358,NA,0.635508999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_9
Callitris rhomboidea,3/04/2012,9,Amb,640,Dry,658,15.51193166,0.165378213,442.254924,2.75122839,1.738962543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_9
Callitris rhomboidea,3/04/2012,9,Elv,640,Dry,351,8.567947826,0.060599261,377.4426918,1.418078742,2.33895451,NA,1.270568386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_9,grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_9
