species_name,individual,leaf_area,replicates,height,site_name,latitude (deg),longitude (deg)
Banksia serrata,1,12.74698,50,4.5,Royal National Park,-34.114,151.066417
Banksia serrata,2,11.765020408163265,49,4,Royal National Park,-34.114,151.066417
Banksia serrata,3,26.08488,50,6,Royal National Park,-34.114,151.066417
Banksia serrata,4,15.31144,50,4.9,Royal National Park,-34.114,151.066417
Banksia serrata,5,17.60134,50,7,Royal National Park,-34.114,151.066417
Ceratopetalum gummiferum,1,7.59692,50,5.8,Royal National Park,-34.114,151.066417
Ceratopetalum gummiferum,2,4.7138,50,2.8,Royal National Park,-34.114,151.066417
Ceratopetalum gummiferum,3,8.19686,50,2.2,Royal National Park,-34.114,151.066417
Ceratopetalum gummiferum,4,11.72792,50,6,Royal National Park,-34.114,151.066417
Ceratopetalum gummiferum,5,3.9145714285714286,49,6,Royal National Park,-34.114,151.066417
Dodonaea triquetra,1,8.90362,50,2.2,Royal National Park,-34.114,151.066417
Dodonaea triquetra,2,8.41494,50,2,Royal National Park,-34.114,151.066417
Dodonaea triquetra,3,6.7404,50,2.5,Royal National Park,-34.114,151.066417
Dodonaea triquetra,4,6.922,50,1.9,Royal National Park,-34.114,151.066417
Dodonaea triquetra,5,11.3333,50,2.9,Royal National Park,-34.114,151.066417
Grevillea mucronulata,1,1.9907551020408163,49,2,Royal National Park,-34.114,151.066417
Grevillea mucronulata,2,2.1301,50,1.8,Royal National Park,-34.114,151.066417
Grevillea mucronulata,3,1.4112,50,3,Royal National Park,-34.114,151.066417
Grevillea mucronulata,4,2.3100816326530613,49,1.7,Royal National Park,-34.114,151.066417
Grevillea mucronulata,5,1.90216,50,1.8,Royal National Park,-34.114,151.066417
Pultenaea daphnoides,1,0.9645416666666666,48,1.9,Royal National Park,-34.114,151.066417
Pultenaea daphnoides,2,0.88884,50,2.4,Royal National Park,-34.114,151.066417
Pultenaea daphnoides,3,1.095469387755102,49,2.5,Royal National Park,-34.114,151.066417
Pultenaea daphnoides,4,0.919469387755102,49,2.8,Royal National Park,-34.114,151.066417
Pultenaea daphnoides,5,1.0469583333333334,48,1.1,Royal National Park,-34.114,151.066417
