Site,Season,Species,Plant ,Leaf,Time,WP
1,Wet/Dry,Brachychiton australis,1,2,13:00,-1.2
1,Wet/Dry,Brachychiton australis,1,3,13:00,-1.45
1,Wet/Dry,Brachychiton australis,1,1,15:00,-1
1,Wet/Dry,Brachychiton australis,1,2,15:00,-1.2
1,Wet/Dry,Brachychiton australis,1,3,15:00,-1.25
1,Wet/Dry,Brachychiton australis,1,1,17:00,-1.3
1,Wet/Dry,Brachychiton australis,1,2,17:00,-1.1
1,Wet/Dry,Brachychiton australis,1,3,17:00,-1
1,Wet/Dry,Brachychiton australis,3,1,5:00,-0.475
1,Wet/Dry,Brachychiton australis,3,2,5:00,-0.55
1,Wet/Dry,Brachychiton australis,3,3,5:00,-0.5
1,Wet/Dry,Brachychiton australis,3,1,9:00,-1.4
1,Wet/Dry,Brachychiton australis,3,2,9:00,-1.1
1,Wet/Dry,Brachychiton australis,3,3,9:00,-1.55
1,Wet/Dry,Brachychiton australis,3,1,11:00,-1.5
1,Wet/Dry,Brachychiton australis,3,2,11:00,-2.02
1,Wet/Dry,Brachychiton australis,3,3,11:00,-1.4
1,Wet/Dry,Brachychiton australis,3,1,13:00,-1.9
1,Wet/Dry,Brachychiton australis,3,2,13:00,-1.5
1,Wet/Dry,Brachychiton australis,3,3,13:00,-1.7
1,Wet/Dry,Brachychiton australis,3,1,15:00,-1.42
1,Wet/Dry,Brachychiton australis,3,2,15:00,-1.65
1,Wet/Dry,Brachychiton australis,3,3,15:00,-1.5
1,Wet/Dry,Brachychiton australis,3,1,17:00,-1.2
1,Wet/Dry,Brachychiton australis,3,2,17:00,-1.25
1,Wet/Dry,Brachychiton australis,3,3,17:00,-1
1,Wet/Dry,Brachychiton australis,4,1,5:00,-0.65
1,Wet/Dry,Brachychiton australis,4,2,5:00,-0.675
1,Wet/Dry,Brachychiton australis,4,3,5:00,-0.65
1,Wet/Dry,Brachychiton australis,4,1,9:00,-1.6
1,Wet/Dry,Brachychiton australis,4,2,9:00,-1.55
1,Wet/Dry,Brachychiton australis,4,3,9:00,-1.45
1,Wet/Dry,Brachychiton australis,4,1,11:00,-1.95
1,Wet/Dry,Brachychiton australis,4,2,11:00,-1.8
1,Wet/Dry,Brachychiton australis,4,3,11:00,-1.95
1,Wet/Dry,Brachychiton australis,4,1,13:00,-2.05
1,Wet/Dry,Brachychiton australis,4,2,13:00,-1.6
1,Wet/Dry,Brachychiton australis,4,3,13:00,-1.7
1,Wet/Dry,Brachychiton australis,4,1,15:00,-2.1
1,Wet/Dry,Brachychiton australis,4,2,15:00,-1.85
1,Wet/Dry,Brachychiton australis,4,3,15:00,-1.7
1,Wet/Dry,Brachychiton australis,4,1,17:00,-1.9
1,Wet/Dry,Brachychiton australis,4,2,17:00,-1.5
1,Wet/Dry,Brachychiton australis,4,3,17:00,-1.85
1,Wet/Dry,Cochlospermum gillivraei,1,1,5:00,-0.65
1,Wet/Dry,Cochlospermum gillivraei,1,2,5:00,-0.55
1,Wet/Dry,Cochlospermum gillivraei,1,3,5:00,-1.05
1,Wet/Dry,Cochlospermum gillivraei,1,1,9:00,-1.1
1,Wet/Dry,Cochlospermum gillivraei,1,2,9:00,-1.15
1,Wet/Dry,Cochlospermum gillivraei,1,3,9:00,-1.3
1,Wet/Dry,Cochlospermum gillivraei,1,1,11:00,-1.35
1,Wet/Dry,Cochlospermum gillivraei,1,2,11:00,-1.65
1,Wet/Dry,Cochlospermum gillivraei,1,3,11:00,-1.55
1,Wet/Dry,Cochlospermum gillivraei,1,1,13:00,-1.35
1,Wet/Dry,Cochlospermum gillivraei,1,2,13:00,-1.3
1,Wet/Dry,Cochlospermum gillivraei,1,3,13:00,-1.17
1,Wet/Dry,Cochlospermum gillivraei,1,1,15:00,-1.225
1,Wet/Dry,Cochlospermum gillivraei,1,2,15:00,-1.3
1,Wet/Dry,Cochlospermum gillivraei,1,3,15:00,-1.25
1,Wet/Dry,Cochlospermum gillivraei,1,1,17:00,-0.85
1,Wet/Dry,Cochlospermum gillivraei,1,2,17:00,-0.95
1,Wet/Dry,Cochlospermum gillivraei,1,3,17:00,-0.95
1,Wet/Dry,Cochlospermum gillivraei,2,1,5:00,-0.45
1,Wet/Dry,Cochlospermum gillivraei,2,2,5:00,-0.575
1,Wet/Dry,Cochlospermum gillivraei,2,3,5:00,-0.6
1,Wet/Dry,Cochlospermum gillivraei,2,1,9:00,-1.15
1,Wet/Dry,Cochlospermum gillivraei,2,2,9:00,-0.95
1,Wet/Dry,Cochlospermum gillivraei,2,3,9:00,-0.9
1,Wet/Dry,Cochlospermum gillivraei,2,1,11:00,-1.375
1,Wet/Dry,Cochlospermum gillivraei,2,2,11:00,-1.4
1,Wet/Dry,Cochlospermum gillivraei,2,3,11:00,-1.1
1,Wet/Dry,Cochlospermum gillivraei,2,1,13:00,-1.2
1,Wet/Dry,Cochlospermum gillivraei,2,2,13:00,-1.45
1,Wet/Dry,Cochlospermum gillivraei,2,3,13:00,-1.25
1,Wet/Dry,Cochlospermum gillivraei,2,1,15:00,-1.1
1,Wet/Dry,Cochlospermum gillivraei,2,2,15:00,-1.25
1,Wet/Dry,Cochlospermum gillivraei,2,3,15:00,-1.15
1,Wet/Dry,Cochlospermum gillivraei,2,1,17:00,-0.75
1,Wet/Dry,Cochlospermum gillivraei,2,2,17:00,-0.7
1,Wet/Dry,Cochlospermum gillivraei,2,3,17:00,-0.9
1,Wet/Dry,Cochlospermum gillivraei,3,1,5:00,-0.7
1,Wet/Dry,Cochlospermum gillivraei,3,2,5:00,-1
1,Wet/Dry,Cochlospermum gillivraei,3,3,5:00,-1.2
1,Wet/Dry,Cochlospermum gillivraei,3,1,9:00,-0.85
1,Wet/Dry,Cochlospermum gillivraei,3,2,9:00,-0.8
1,Wet/Dry,Cochlospermum gillivraei,3,3,9:00,-1
1,Wet/Dry,Cochlospermum gillivraei,3,1,11:00,-1
1,Wet/Dry,Cochlospermum gillivraei,3,2,11:00,-1.05
1,Wet/Dry,Cochlospermum gillivraei,3,3,11:00,-1.1
1,Wet/Dry,Cochlospermum gillivraei,3,1,13:00,-0.7
1,Wet/Dry,Cochlospermum gillivraei,3,2,13:00,-0.8
1,Wet/Dry,Cochlospermum gillivraei,3,3,13:00,-0.9
1,Wet/Dry,Cochlospermum gillivraei,3,1,15:00,-0.95
1,Wet/Dry,Cochlospermum gillivraei,3,2,15:00,-1.1
1,Wet/Dry,Cochlospermum gillivraei,3,3,15:00,-1.05
1,Wet/Dry,Cochlospermum gillivraei,3,1,17:00,-1
1,Wet/Dry,Cochlospermum gillivraei,3,2,17:00,-0.8
1,Wet/Dry,Cochlospermum gillivraei,3,3,17:00,-1
1,Wet/Dry,Cochlospermum gillivraei,4,1,5:00,-0.6
1,Wet/Dry,Cochlospermum gillivraei,4,2,5:00,-0.6
1,Wet/Dry,Cochlospermum gillivraei,4,3,5:00,-0.7
1,Wet/Dry,Cochlospermum gillivraei,4,1,9:00,-1.2
1,Wet/Dry,Cochlospermum gillivraei,4,2,9:00,-1.3
1,Wet/Dry,Cochlospermum gillivraei,4,3,9:00,-1.05
1,Wet/Dry,Cochlospermum gillivraei,4,1,11:00,-1.45
1,Wet/Dry,Cochlospermum gillivraei,4,2,11:00,-1.45
1,Wet/Dry,Cochlospermum gillivraei,4,3,11:00,-1.4
1,Wet/Dry,Cochlospermum gillivraei,4,1,13:00,-1.3
1,Wet/Dry,Cochlospermum gillivraei,4,2,13:00,-1.3
1,Wet/Dry,Cochlospermum gillivraei,4,3,13:00,-1.3
1,Wet/Dry,Cochlospermum gillivraei,4,1,15:00,-1.3
1,Wet/Dry,Cochlospermum gillivraei,4,2,15:00,-1.3
1,Wet/Dry,Cochlospermum gillivraei,4,3,15:00,-1.4
1,Wet/Dry,Cochlospermum gillivraei,4,1,17:00,-1.15
1,Wet/Dry,Cochlospermum gillivraei,4,2,17:00,-1.2
1,Wet/Dry,Cochlospermum gillivraei,4,3,17:00,-1.15
1,Wet/Dry,Alphitonia excelsa,1,1,5:00,-0.8
1,Wet/Dry,Alphitonia excelsa,1,2,5:00,-1.2
1,Wet/Dry,Alphitonia excelsa,1,3,5:00,-1.05
1,Wet/Dry,Alphitonia excelsa,1,1,9:00,-2
1,Wet/Dry,Alphitonia excelsa,1,2,9:00,-2.7
1,Wet/Dry,Alphitonia excelsa,1,3,9:00,-2.7
1,Wet/Dry,Alphitonia excelsa,1,1,11:00,-2.25
1,Wet/Dry,Alphitonia excelsa,1,2,11:00,-2.25
1,Wet/Dry,Alphitonia excelsa,1,3,11:00,-2.35
1,Wet/Dry,Alphitonia excelsa,1,1,13:00,-2.5
1,Wet/Dry,Alphitonia excelsa,1,2,13:00,-1.9
1,Wet/Dry,Alphitonia excelsa,1,3,13:00,-2.2
1,Wet/Dry,Alphitonia excelsa,1,1,15:00,-2.45
