sample,tree,taxon,locality,collector,sla_mm2_per_mg,leaf_area_cm2,leaf_mass_g,fruit_mass_mg,fruit_mass_total_mg,number_of_fruits,seed_mass_mg,seed_mass_total_mg,number_of_seeds,height_max_m
E. calycogona_?_1_1_fruit,E. calycogona_?_1_fruit,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,NA,NA,NA,74.2,371,5,0.8,8,10,NA
E. calycogona_?_1_2_fruit,E. calycogona_?_1_fruit,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,NA,NA,NA,109.4,547,5,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_1_1_leaf,E. calycogona_Murrayville S Rd_1_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.291139241,2.6,0.079,NA,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_1_2_leaf,E. calycogona_Murrayville S Rd_1_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.31,3.31,0.1,NA,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_1_3_leaf,E. calycogona_Murrayville S Rd_1_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.362068966,1.95,0.058,NA,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_2_1_leaf,E. calycogona_Murrayville S Rd_2_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,2.920454545,2.57,0.088,NA,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_2_2_leaf,E. calycogona_Murrayville S Rd_2_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.076923077,4.8,0.156,NA,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_2_3_leaf,E. calycogona_Murrayville S Rd_2_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.154929577,4.48,0.142,NA,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_3_1_leaf,E. calycogona_Murrayville S Rd_3_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.089285714,1.73,0.056,NA,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_3_2_leaf,E. calycogona_Murrayville S Rd_3_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.245901639,1.98,0.061,NA,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_3_3_leaf,E. calycogona_Murrayville S Rd_3_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.550724638,2.45,0.069,NA,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_4_1_leaf,E. calycogona_Murrayville S Rd_4_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.569444444,2.57,0.072,NA,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_4_2_leaf,E. calycogona_Murrayville S Rd_4_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.649122807,4.16,0.114,NA,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_4_3_leaf,E. calycogona_Murrayville S Rd_4_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.682926829,1.51,0.041,NA,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_5_1_leaf,E. calycogona_Murrayville S Rd_5_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,2.846153846,2.96,0.104,NA,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_5_2_leaf,E. calycogona_Murrayville S Rd_5_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.134969325,5.11,0.163,NA,NA,NA,NA,NA,NA,NA
E. calycogona_Murrayville S Rd_5_3_leaf,E. calycogona_Murrayville S Rd_5_leaf,Eucalyptus calycogona subsp. trachybasis,Murrayville S Rd,L.J. Pollock,3.259259259,2.64,0.081,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_1_1_fruit,E. cyanophylla_Shearer Quarters_1_fruit,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,NA,NA,NA,106,106,1,4.2,21,5,NA
E. cyanophylla_Shearer Quarters_1_1_leaf,E. cyanophylla_Shearer Quarters_1_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,2.332688588,12.06,0.517,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_1_2_fruit,E. cyanophylla_Shearer Quarters_1_fruit,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,NA,NA,NA,119,119,1,23.8,119,5,NA
E. cyanophylla_Shearer Quarters_1_2_leaf,E. cyanophylla_Shearer Quarters_1_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,2.353680431,13.11,0.557,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_1_3_fruit,E. cyanophylla_Shearer Quarters_1_fruit,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,NA,NA,NA,136,136,1,27.2,136,5,NA
E. cyanophylla_Shearer Quarters_1_3_leaf,E. cyanophylla_Shearer Quarters_1_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,2.429697766,18.49,0.761,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_2_1_fruit,E. cyanophylla_Shearer Quarters_2_fruit,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,NA,NA,NA,336,336,1,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_2_1_leaf,E. cyanophylla_Shearer Quarters_2_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.710963455,10.3,0.602,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_2_2_fruit,E. cyanophylla_Shearer Quarters_2_fruit,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,NA,NA,NA,275,275,1,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_2_2_leaf,E. cyanophylla_Shearer Quarters_2_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.813333333,13.6,0.75,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_2_3_fruit,E. cyanophylla_Shearer Quarters_2_fruit,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,NA,NA,NA,243,243,1,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_2_3_leaf,E. cyanophylla_Shearer Quarters_2_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.857538036,13.43,0.723,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_3_1_leaf,E. cyanophylla_Shearer Quarters_3_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.771551724,8.22,0.464,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_3_2_leaf,E. cyanophylla_Shearer Quarters_3_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,2.053333333,20.02,0.975,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_3_3_leaf,E. cyanophylla_Shearer Quarters_3_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,2.054441261,21.51,1.047,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_4_1_leaf,E. cyanophylla_Shearer Quarters_4_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.936842105,18.4,0.95,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_4_2_leaf,E. cyanophylla_Shearer Quarters_4_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,2.127420999,20.87,0.981,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_4_3_leaf,E. cyanophylla_Shearer Quarters_4_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,2.294691224,21.18,0.923,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_5_1_leaf,E. cyanophylla_Shearer Quarters_5_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.643162393,7.69,0.468,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_5_2_leaf,E. cyanophylla_Shearer Quarters_5_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.664907652,12.62,0.758,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_5_3_leaf,E. cyanophylla_Shearer Quarters_5_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.709750567,7.54,0.441,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_6_1_leaf,E. cyanophylla_Shearer Quarters_6_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.757281553,10.86,0.618,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_6_2_leaf,E. cyanophylla_Shearer Quarters_6_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.829812207,15.59,0.852,NA,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_6_3_leaf,E. cyanophylla_Shearer Quarters_6_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.844195519,18.11,0.982,NA,NA,NA,NA,NA,NA,NA
E. dumosa_Boinka FFG_1_1_fruit,E. dumosa_Boinka FFG_1_fruit,Eucalyptus dumosa,Boinka FFG,L.J. Pollock,NA,NA,NA,259,518,2,1.4,7,5,NA
E. dumosa_Crest Top_1_1_leaf,E. dumosa_Crest Top_1_leaf,Eucalyptus dumosa,Crest Top,L.J. Pollock,2.403076923,7.81,0.325,NA,NA,NA,NA,NA,NA,NA
E. dumosa_Crest Top_1_2_leaf,E. dumosa_Crest Top_1_leaf,Eucalyptus dumosa,Crest Top,L.J. Pollock,2.673366834,5.32,0.199,NA,NA,NA,NA,NA,NA,NA
E. dumosa_Crest Top_1_3_leaf,E. dumosa_Crest Top_1_leaf,Eucalyptus dumosa,Crest Top,L.J. Pollock,2.69924812,7.18,0.266,NA,NA,NA,NA,NA,NA,NA
E. dumosa_Crest Top_2_1_leaf,E. dumosa_Crest Top_2_leaf,Eucalyptus dumosa,Crest Top,L.J. Pollock,2.192708333,8.42,0.384,NA,NA,NA,NA,NA,NA,NA
E. dumosa_Crest Top_2_2_leaf,E. dumosa_Crest Top_2_leaf,Eucalyptus dumosa,Crest Top,L.J. Pollock,2.507936508,4.74,0.189,NA,NA,NA,NA,NA,NA,NA
E. dumosa_Crest Top_2_3_leaf,E. dumosa_Crest Top_2_leaf,Eucalyptus dumosa,Crest Top,L.J. Pollock,2.536842105,4.82,0.19,NA,NA,NA,NA,NA,NA,NA
E. dumosa_GS_1_1_fruit,E. dumosa_GS_1_fruit,Eucalyptus dumosa,GS,L.J. Pollock,NA,NA,NA,95.6,478,5,0.4,4,10,NA
E. dumosa_GS_1_1_leaf,E. dumosa_GS_1_leaf,Eucalyptus dumosa,GS,L.J. Pollock,2.24871134,17.45,0.776,NA,NA,NA,NA,NA,NA,NA
E. dumosa_GS_1_2_leaf,E. dumosa_GS_1_leaf,Eucalyptus dumosa,GS,L.J. Pollock,2.672413793,12.4,0.464,NA,NA,NA,NA,NA,NA,NA
E. dumosa_GS_1_3_leaf,E. dumosa_GS_1_leaf,Eucalyptus dumosa,GS,L.J. Pollock,2.755319149,10.36,0.376,NA,NA,NA,NA,NA,NA,NA
E. dumosa_GS_2_1_leaf,E. dumosa_GS_2_leaf,Eucalyptus dumosa,GS,L.J. Pollock,2.2899729,8.45,0.369,NA,NA,NA,NA,NA,NA,NA
E. dumosa_GS_2_2_leaf,E. dumosa_GS_2_leaf,Eucalyptus dumosa,GS,L.J. Pollock,2.635097493,9.46,0.359,NA,NA,NA,NA,NA,NA,NA
E. dumosa_GS_2_3_leaf,E. dumosa_GS_2_leaf,Eucalyptus dumosa,GS,L.J. Pollock,2.885135135,8.54,0.296,NA,NA,NA,NA,NA,NA,NA
E. dumosa_M08502_1_1_fruit,E. dumosa_M08502_1_fruit,Eucalyptus dumosa,M08502,L.J. Pollock,NA,NA,NA,210,630,3,NA,NA,NA,NA
E. dumosa_M08502_1_1_leaf,E. dumosa_M08502_1_leaf,Eucalyptus dumosa,M08502,L.J. Pollock,2.755102041,10.8,0.392,NA,NA,NA,NA,NA,NA,NA
E. dumosa_M08502_1_2_leaf,E. dumosa_M08502_1_leaf,Eucalyptus dumosa,M08502,L.J. Pollock,2.848866499,11.31,0.397,NA,NA,NA,NA,NA,NA,NA
E. dumosa_M08502_1_3_leaf,E. dumosa_M08502_1_leaf,Eucalyptus dumosa,M08502,L.J. Pollock,2.916256158,11.84,0.406,NA,NA,NA,NA,NA,NA,NA
E. dumosa_M0901_1_1_fruit,E. dumosa_M0901_1_fruit,Eucalyptus dumosa,M0901,L.J. Pollock,NA,NA,NA,106,212,2,1,10,10,NA
E. dumosa_M0901_1_1_leaf,E. dumosa_M0901_1_leaf,Eucalyptus dumosa,M0901,L.J. Pollock,2.620786517,9.33,0.356,NA,NA,NA,NA,NA,NA,NA
E. dumosa_M0901_1_2_leaf,E. dumosa_M0901_1_leaf,Eucalyptus dumosa,M0901,L.J. Pollock,2.667820069,7.71,0.289,NA,NA,NA,NA,NA,NA,NA
E. dumosa_M0901_1_3_leaf,E. dumosa_M0901_1_leaf,Eucalyptus dumosa,M0901,L.J. Pollock,2.75625,4.41,0.16,NA,NA,NA,NA,NA,NA,NA
E. dumosa_M0901_1_4_leaf,E. dumosa_M0901_1_leaf,Eucalyptus dumosa,M0901,L.J. Pollock,3.025641026,5.9,0.195,NA,NA,NA,NA,NA,NA,NA
E. dumosa_M0901_1_5_leaf,E. dumosa_M0901_1_leaf,Eucalyptus dumosa,M0901,L.J. Pollock,3.236363636,8.9,0.275,NA,NA,NA,NA,NA,NA,NA
E. dumosa_M0901_1_6_leaf,E. dumosa_M0901_1_leaf,Eucalyptus dumosa,M0901,L.J. Pollock,3.341176471,5.68,0.17,NA,NA,NA,NA,NA,NA,NA
