Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,stem buds
Amaranthus cochleitepalus Domin,NA,NA,"Albrecht 2004, Liddle 2004",Seeder,None,NA,NA
Amaranthus cuspidifolius Domin,NA,NA,Brennan 2004,NA,NA,NA,NA
Amaranthus grandiflorus (J.M.Black) J.M.Black,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Amaranthus hybridus L.,NA,NA,NA,NA,NA,NA,NA
Amaranthus induratus C.A.Gardner ex J.Palmer & Mowatt,NA,NA,NA,NA,NA,NA,NA
Amaranthus interruptus R.Br.,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,NA,NA,NA
Amaranthus macrocarpus Benth.,NA,NA,Brennan 2004,NA,NA,NA,NA
Amaranthus macrocarpus Benth. var. macrocarpus,NA,NA,NA,NA,NA,NA,NA
Amaranthus mitchellii Benth.,NA,NA,Latz 2004,Seeder,None,NA,NA
Amaranthus retroflexus L.,NA,NA,NA,NA,NA,NA,NA
Amaranthus rhombeus R.Br.,NA,NA,NA,NA,NA,NA,NA
Amaranthus spinosus L.,NA,NA,NA,NA,NA,NA,NA
Amaranthus tricolor L.,NA,NA,NA,NA,NA,NA,NA
Amaranthus undulatus R.Br.,NA,NA,NA,NA,NA,NA,NA
Amaranthus viridis L.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Atriplex,NA,NA,NA,NA,NA,NA,NA
Atriplex angulata Benth.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Atriplex crassipes J.M.Black,NA,NA,NA,NA,NA,NA,NA
Atriplex crassipes J.M.Black var. crassipes,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Atriplex eardleyae Aellen,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Atriplex elachophylla F.Muell.,NA,NA,Latz 2004,"Seeder, Resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA
Atriplex fissivalvis F.Muell.,NA,NA,Brennan 2004,NA,NA,NA,NA
Atriplex flabelliformis Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Atriplex holocarpa F.Muell.,NA,NA,"Latz 2004, Liddle 2004",Seeder,None,NA,NA
Atriplex humifusa Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Atriplex incrassata F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Atriplex intermedia R.H.Anderson,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Atriplex limbata Benth.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Atriplex lindleyi Moq.,NA,NA,NA,NA,NA,NA,NA
Atriplex lindleyi Moq. subsp. conduplicata (F.Muell.) Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Atriplex lindleyi Moq. subsp. inflata (F.Muell.) Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Atriplex lobativalvis F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Atriplex morrisii R.H.Anderson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Atriplex muelleri Benth.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Atriplex nummularia Lindl.,NA,NA,NA,NA,NA,NA,NA
Atriplex nummularia Lindl. subsp. nummularia,NA,NA,Latz 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Atriplex nummularia Lindl. subsp. omissa Aellen,NA,NA,Latz 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Atriplex pseudocampanulata Aellen,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Atriplex quadrivalvata Diels,NA,NA,NA,NA,NA,NA,NA
Atriplex quadrivalvata Diels var. quadrivalvata,NA,NA,Brennan 2004,NA,NA,NA,NA
Atriplex quinii F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Atriplex semibaccata R.Br.,NA,NA,"Brock 2004, Brennan 2004",Seeder,None,NA,NA
Atriplex spongiosa F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Atriplex stipitata Benth.,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Seeder,None,NA,NA
Atriplex sturtii S.W.L.Jacobs,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Atriplex turbinata (R.H.Anderson) Aellen,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Atriplex velutinella F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Atriplex vesicaria Heward ex Benth.,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
NA,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
NA,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
NA,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Celosia,NA,NA,NA,NA,NA,NA,NA
Celosia argentea L.,NA,NA,NA,NA,NA,NA,NA
Chenopodium,NA,NA,NA,NA,NA,NA,NA
Chenopodium album L.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Chenopodium auricomum Lindl.,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Chenopodium desertorum (J.M.Black) J.M.Black,NA,NA,NA,NA,NA,NA,NA
Chenopodium desertorum (J.M.Black) J.M.Black subsp. anidiophyllum (Aellen) Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Chenopodium desertorum (J.M.Black) J.M.Black subsp. rectum Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Chenopodium ficifolium Sm.,NA,NA,NA,NA,NA,NA,NA
Chenopodium ficifolium Sm. subsp. blomianum Aellen,NA,NA,NA,NA,NA,NA,NA
Chenopodium giganteum Don,NA,NA,NA,NA,NA,NA,NA
Chenopodium murale L.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Chenopodium nitrariaceum (F.Muell.) Benth.,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Cyathula,NA,NA,NA,NA,NA,NA,NA
Cyathula prostrata (L.) Blume,NA,NA,NA,NA,NA,NA,NA
Dissocarpus,NA,NA,NA,NA,NA,NA,NA
Dissocarpus biflorus F.Muell.,NA,NA,NA,NA,NA,NA,NA
Dissocarpus biflorus F.Muell. var. biflorus,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Dissocarpus paradoxus (R.Br.) Ulbr.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Dysphania,NA,NA,NA,NA,NA,NA,NA
Dysphania cristata (F.Muell.) Mosyakin & Clemants,NA,NA,Latz 2004,Seeder,None,NA,NA
Dysphania glomulifera (Nees) Paul G.Wilson,NA,NA,NA,NA,NA,NA,NA
Dysphania glomulifera (Nees) Paul G.Wilson subsp. eremaea Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Dysphania kalpari Paul G.Wilson,NA,NA,Latz 2004,Seeder,None,NA,NA
Dysphania melanocarpa (J.M.Black) Mosyakin & Clemants,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,NA,NA,NA
Dysphania plantaginella F.Muell.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Dysphania platycarpa Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Dysphania pumilio (R.Br.) Mosyakin & Clemants,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Dysphania rhadinostachya (F.Muell.) A.J.Scott,NA,NA,NA,NA,NA,NA,NA
Dysphania rhadinostachya (F.Muell.) A.J.Scott subsp. inflata (Aellen) Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Dysphania rhadinostachya (F.Muell.) A.J.Scott subsp. rhadinostachya,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Dysphania simulans F.Muell. & Tate,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,NA,NA,NA
Dysphania sphaerosperma Paul G.Wilson,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Dysphania truncata (Paul G.Wilson) Mosyakin & Clemants,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",Seeder,NA,NA,NA
Einadia,NA,NA,NA,NA,NA,NA,NA
Einadia nutans (R.Br.) A.J.Scott,NA,NA,NA,NA,NA,NA,NA
Einadia nutans (R.Br.) A.J.Scott subsp. eremaea Paul G.Wilson,NA,NA,Latz 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Einadia nutans (R.Br.) A.J.Scott subsp. nutans,NA,NA,Latz 2004,Seeder,None,NA,NA
Enchylaena,NA,NA,NA,NA,NA,NA,NA
Enchylaena tomentosa R.Br.,NA,NA,NA,NA,NA,NA,NA
Enchylaena tomentosa R.Br. var. glabra Benth.,NA,NA,Brennan 2004,NA,NA,NA,NA
Enchylaena tomentosa R.Br. var. tomentosa,NA,NA,Latz 2004,"Seeder, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA
Eremophea,NA,NA,NA,NA,NA,NA,NA
Eremophea spinosa (Ewart & O.B.Davies) Paul G.Wilson,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Seeder,None,NA,NA
Eriochiton,NA,NA,NA,NA,NA,NA,NA
Eriochiton sclerolaenoides (F.Muell.) F.Muell. ex A.J.Scott,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Gomphrena,NA,NA,NA,NA,NA,NA,NA
Gomphrena affinis F.Muell. ex Benth.,NA,NA,NA,NA,NA,NA,NA
Gomphrena affinis F.Muell. ex Benth. subsp. affinis,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Gomphrena atrorubra J.Palmer,NA,NA,NA,NA,NA,NA,NA
Gomphrena brachystylis F.Muell.,NA,NA,NA,NA,NA,NA,NA
Gomphrena brachystylis F.Muell. subsp. brachystylis,NA,NA,Latz 2004,Seeder,None,NA,NA
Gomphrena breviflora F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,NA,NA,NA
Gomphrena canescens R.Br.,NA,NA,Cowie 2019,NA,NA,NA,NA
Gomphrena canescens R.Br. subsp. canescens,NA,NA,Brennan 2004,NA,NA,NA,NA
Gomphrena canescens R.Br. subsp. erythrina J.Palmer,NA,NA,Cowie 2019,NA,NA,NA,NA
Gomphrena celosioides Mart.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Gomphrena conica (R.Br.) Spreng.,NA,NA,Latz 2004,Seeder,None,NA,NA
Gomphrena connata J.Palmer,NA,NA,NA,NA,NA,NA,NA
Gomphrena cunninghamii (Moq.) Druce,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Gomphrena diffusa (R.Br.) Spreng.,NA,NA,NA,NA,NA,NA,NA
Gomphrena diffusa (R.Br.) Spreng. subsp. arenicola J.Palmer,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Gomphrena diffusa (R.Br.) Spreng. subsp. diffusa,NA,NA,NA,NA,NA,NA,NA
Gomphrena flaccida R.Br.,NA,NA,NA,NA,NA,NA,NA
Gomphrena floribunda J.Palmer,NA,NA,NA,NA,NA,NA,NA
Gomphrena humilis R.Br.,NA,NA,NA,NA,NA,NA,NA
Gomphrena involucrata Ewart,NA,NA,NA,NA,NA,NA,NA
Gomphrena lacinulata J.Palmer,NA,NA,NA,NA,NA,NA,NA
Gomphrena lanata R.Br.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",Seeder,NA,NA,NA
Gomphrena leptoclada Benth.,NA,NA,NA,NA,NA,NA,NA
Gomphrena leptoclada Benth. subsp. leptoclada,NA,NA,NA,NA,NA,NA,NA
Gomphrena leptoclada Benth. subsp. saxosa J.Palmer,NA,NA,NA,NA,NA,NA,NA
Gomphrena leptophylla (Benth.) J.Palmer,NA,NA,Brennan 2004,NA,NA,NA,NA
Gomphrena magentitepala J.Palmer,NA,NA,NA,NA,NA,NA,NA
Gomphrena parviflora Benth.,NA,NA,NA,NA,NA,NA,NA
Gomphrena rosula J.Palmer,NA,NA,NA,NA,NA,NA,NA
Gomphrena sp. Martins Well (K.F.Kenneally 6116) J.Palmer,NA,NA,I.D. Cowie,NA,NA,NA,NA
Guilleminea,NA,NA,NA,NA,NA,NA,NA
Guilleminea densa Moq.,NA,NA,NA,NA,NA,NA,NA
Maireana,NA,NA,NA,NA,NA,NA,NA
Maireana aphylla (R.Br.) Paul G.Wilson,NA,NA,Latz 2004,"Seeder, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA
Maireana appressa (R.Br.) Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Maireana astrotricha (L.A.S.Johnson) Paul G.Wilson,NA,NA,"Latz 2004, Nano 2005","Seeder, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), None",NA,NA
Maireana brevifolia (R.Br.) Paul G.Wilson,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Maireana campanulata Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Maireana carnosa (Moq.) Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Maireana ciliata (F.Muell.) Paul G.Wilson,NA,NA,Brennan 2004,NA,NA,NA,NA
Maireana coronata (J.M.Black) Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Maireana dichoptera (F.Muell.) Paul G.Wilson,NA,NA,Brennan 2004,NA,NA,NA,NA
Maireana eriantha (F.Muell.) Paul G.Wilson,NA,NA,Brennan 2004,NA,NA,NA,NA
Maireana georgei (Diels) Paul G.Wilson,NA,NA,"Latz 2004, Liddle 2004","Seeder, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA
Maireana integra (Paul G.Wilson) Paul G.Wilson,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Seeder,None,NA,NA
Maireana lanosa (Lindl.) Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Maireana lobiflora (F.Muell. ex Benth.) Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Maireana luehmannii (F.Muell.) Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Maireana microcarpa (Benth.) Paul G.Wilson,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Maireana ovata (Ising) Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Maireana pentatropis (Tate) Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Maireana planifolia (F.Muell.) Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Maireana pyramidata (Benth.) Paul G.Wilson,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Maireana schistocarpa Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Maireana scleroptera (J.M.Black) Paul G.Wilson,NA,NA,Latz 2004,Seeder,None,NA,NA
Maireana sedifolia (F.Muell.) Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Maireana sp. Rainbow Valley (D.E.Albrecht 6551),NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Maireana spongiocarpa (F.Muell.) Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Maireana tomentosa Moq.,NA,NA,NA,NA,NA,NA,NA
Maireana tomentosa Moq. subsp. tomentosa,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Maireana trichoptera (J.M.Black) Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Maireana triptera (Benth.) Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004","Seeder, Faculative resprouter",NA,NA,NA
Maireana turbinata Paul G.Wilson,NA,NA,I.D. Cowie,NA,NA,NA,NA
Maireana villosa (Lindl.) Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",Faculative resprouter,NA,NA,NA
Malacocera,NA,NA,NA,NA,NA,NA,NA
Malacocera biflora Ising,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Malacocera tricornis (Benth.) R.H.Anderson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Neobassia,NA,NA,NA,NA,NA,NA,NA
Neobassia astrocarpa (F.Muell.) A.J.Scott,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Neobassia proceriflora (F.Muell.) A.J.Scott,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Omegandra,NA,NA,NA,NA,NA,NA,NA
Omegandra kanisii G.J.Leach & C.C.Townsend,NA,NA,NA,NA,NA,NA,NA
Osteocarpum,NA,NA,NA,NA,NA,NA,NA
Osteocarpum acropterum (F.Muell. & Tate) Volkens,NA,NA,NA,NA,NA,NA,NA
Osteocarpum acropterum (F.Muell. & Tate) Volkens var. acropterum,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Osteocarpum dipterocarpum (F.Muell.) Volkens,NA,NA,Latz 2004,Seeder,None,NA,NA
Osteocarpum pentapterum (F.Muell. & Tate) Volkens,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Osteocarpum salsuginosum F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ptilotus,NA,NA,NA,NA,NA,NA,NA
Ptilotus  parviflorus  (Lindl.) F.Muell.,NA,NA,NA,NA,NA,NA,NA
Ptilotus aervoides (F.Muell.) F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ptilotus aristatus Benl,NA,NA,NA,NA,NA,NA,NA
Ptilotus aristatus Benl subsp. aristatus,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ptilotus aristatus Benl subsp. micranthus Albr. & Lally,NA,NA,I.D.Cowie,NA,NA,NA,NA
Ptilotus arthrolasius F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ptilotus astrolasius F.Muell.,NA,NA,NA,NA,NA,NA,NA
Ptilotus brachyanthus (Benth.) F.Muell.,NA,NA,NA,NA,NA,NA,NA
Ptilotus calostachyus F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ptilotus capitatus (F.Muell.) C.A.Gardner,NA,NA,NA,NA,NA,NA,NA
Ptilotus chippendalei Benl,NA,NA,Brennan 2004,NA,NA,NA,NA
Ptilotus clementii (Farmar) Benl,NA,NA,Latz 2004,Seeder,None,NA,NA
Ptilotus comatus Benl,NA,NA,NA,NA,NA,NA,NA
Ptilotus conicus R.Br.,NA,NA,Yates 2003,Seeder,None,NA,NA
Ptilotus corymbosus R.Br.,NA,NA,Yates 2003,Seeder,None,NA,NA
Ptilotus crispus Benl,NA,NA,I.D. Cowie,NA,NA,NA,NA
Ptilotus decipiens (Benth.) C.A.Gardner,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ptilotus dissitiflorus (F.Muell.) F.Muell.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Ptilotus distans (R.Br.) Poir.,NA,NA,KNP plots,Seeder,None,NA,NA
Ptilotus exaltatus Nees,NA,NA,NA,NA,NA,NA,NA
Ptilotus exaltatus Nees var. exaltatus,NA,NA,Latz 2004,Seeder,None,NA,NA
Ptilotus exaltatus Nees var. glaber Benl,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ptilotus exaltatus Nees var. pallidus Benl,NA,NA,Brennan 2004,NA,NA,NA,NA
Ptilotus fusiformis (R.Br.) Poir.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ptilotus gardneri Benl,NA,NA,NA,NA,NA,NA,NA
Ptilotus gaudichaudii (Steud.) J.M.Black,NA,NA,NA,NA,NA,NA,NA
Ptilotus gaudichaudii (Steud.) J.M.Black subsp. gaudichaudii,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ptilotus gaudichaudii (Steud.) J.M.Black subsp. parviflorus (Benth.) Lally,NA,NA,Brennan 2004,NA,NA,NA,NA
Ptilotus giganteus (Cunn. ex Moq.) R.W.Davis & R.Butcher,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ptilotus helipteroides (F.Muell.) F.Muell.,NA,NA,Latz 2004,Seeder,None,NA,NA
Ptilotus incanus (R.Br.) F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ptilotus latifolius R.Br.,NA,NA,Brennan 2004,NA,NA,NA,NA
Ptilotus leucocoma (Moq.) F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ptilotus lophotrichus Benl,NA,NA,NA,NA,NA,NA,NA
Ptilotus nobilis (Lindl. ex Mitch.) F.Muell.,NA,NA,NA,NA,NA,NA,NA
Ptilotus nobilis (Lindl. ex Mitch.) F.Muell. subsp. nobilis,NA,NA,Latz 2004,Seeder,None,NA,NA
Ptilotus obovatus (Gaudich.) F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ptilotus obovatus (Gaudich.) F.Muell. var. griseus Benl,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ptilotus obovatus (Gaudich.) F.Muell. var. obovatus,NA,NA,Latz 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ptilotus parviflorus  (Lindl.) F.Muell.,NA,NA,NA,NA,NA,NA,NA
Ptilotus polystachyus (Gaudich.) F.Muell.,NA,NA,Latz 2004,Seeder,None,NA,NA
Ptilotus pseudohelipteroides Benl,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ptilotus robynsianus Benl,NA,NA,I.D. Cowie,NA,NA,NA,NA
Ptilotus rotundatus Benl,NA,NA,NA,NA,NA,NA,NA
Ptilotus royceanus Benl,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ptilotus schwartzii (F.Muell.) Tate,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ptilotus sessilifolius (Lindl.) Benl,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA
Ptilotus sp. Fish River (D.L.Lewis 2249) Cowie & D.L.Lewis,NA,NA,I.D. Cowie,NA,NA,NA,NA
Ptilotus spicatus F.Muell. ex Benth.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Ptilotus whitei (J.M.Black) Lally,NA,NA,I.D. Cowie,NA,NA,NA,NA
Ptilotus xerophilus T.Hammer & R.W.Davis,NA,NA,"Latz 2004, Liddle 2004",Seeder,None,NA,NA
Pupalia,NA,NA,NA,NA,NA,NA,NA
Pupalia lappacea (L.) Juss.,NA,NA,I.D. Cowie 2020,Seeder,None,NA,NA
Pupalia micrantha Hauman,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Rhagodia,NA,NA,NA,NA,NA,NA,NA
Rhagodia eremaea Paul G.Wilson,NA,NA,Latz 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Rhagodia parabolica R.Br.,NA,NA,Latz 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Rhagodia spinescens R.Br.,NA,NA,Latz 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Salsola,NA,NA,NA,NA,NA,NA,NA
Salsola australis R.Br.,NA,NA,NA,NA,NA,NA,NA
Sclerolaena,NA,NA,NA,NA,NA,NA,NA
Sclerolaena bicornis Lindl.,NA,NA,NA,NA,NA,NA,NA
Sclerolaena bicornis Lindl. var. bicornis,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sclerolaena birchii (F.Muell.) Domin,NA,NA,Latz 2004,Seeder,None,NA,NA
Sclerolaena blackiana (Ising) A.J.Scott,NA,NA,I.D. Cowie,NA,NA,NA,NA
Sclerolaena brachyptera (F.Muell.) S.W.L.Jacobs,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sclerolaena calcarata (Ising) A.J.Scott,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sclerolaena clelandii (Ising) A.J.Scott,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sclerolaena convexula (R.H.Anderson) A.J.Scott,NA,NA,"Latz 2004, Liddle 2004",Seeder,None,NA,NA
Sclerolaena cornishiana (F.Muell.) A.J.Scott,NA,NA,Latz 2004,Seeder,None,NA,NA
Sclerolaena costata (R.H.Anderson) A.J.Scott,NA,NA,"Latz 2004, Liddle 2004",Seeder,None,NA,NA
Sclerolaena crenata (Ising) Scott,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Sclerolaena cuneata Paul G.Wilson,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Sclerolaena decurrens (J.M.Black) A.J.Scott,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sclerolaena densiflora (W.Fitzg.) A.J.Scott,NA,NA,Brennan 2004,NA,NA,NA,NA
Sclerolaena deserticola Paul G.Wilson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sclerolaena diacantha (Nees) Benth.,NA,NA,Latz 2004,Seeder,None,NA,NA
Sclerolaena eriacantha (F.Muell.) Ulbr.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Sclerolaena glabra (F.Muell.) Domin,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Sclerolaena intricata (R.H.Anderson) A.J.Scott,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sclerolaena johnsonii (Ising) A.J.Scott,NA,NA,Latz 2004,Seeder,None,NA,NA
Sclerolaena lanicuspis (F.Muell.) F.Muell. ex Benth.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sclerolaena limbata (J.M.Black) Ulbr.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sclerolaena longicuspis (F.Muell.) A.J.Scott,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sclerolaena minuta (Ising) A.J.Scott,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sclerolaena muelleri (Benth.) A.J.Scott,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Sclerolaena muricata (Moq.) Domin,NA,NA,NA,NA,NA,NA,NA
Sclerolaena muricata (Moq.) Domin var. muricata,NA,NA,Brennan 2004,NA,NA,NA,NA
