site_name,trait_name,unit,value,notes
Bola Creek Royal NP,longitude,deg,151.0322222,
Bola Creek Royal NP,latitude,deg,-34.14777778,
Bola Creek Royal NP,pH,,5.59,
Bola Creek Royal NP,% water,%,1.98,
Bola Creek Royal NP,% organic matter,%,26.78,
Bola Creek Royal NP,oxidised N,mgN/kg,1.46,
Bola Creek Royal NP,total Kjeldahl N,mgN/kg,664.4,
Bola Creek Royal NP,total N,mgN/kg,665.8,
Bola Creek Royal NP,total P,mgP/kg,290.8,
Bundeena Road Royal NP,longitude,deg,151.0861111,
Bundeena Road Royal NP,latitude,deg,-34.12583333,
Bundeena Road Royal NP,pH,,5.75,
Bundeena Road Royal NP,% water,%,1.39,
Bundeena Road Royal NP,% organic matter,%,2.73,
Bundeena Road Royal NP,oxidised N,mgN/kg,0.17,
Bundeena Road Royal NP,total Kjeldahl N,mgN/kg,376.9,
Bundeena Road Royal NP,total N,mgN/kg,377,
Bundeena Road Royal NP,total P,mgP/kg,108.7,
Challenger Track KCNP,longitude,deg,151.2766667,
Challenger Track KCNP,latitude,deg,-33.59666667,
Challenger Track KCNP,pH,,5.71,
Challenger Track KCNP,% water,%,8.45,
Challenger Track KCNP,% organic matter,%,4.72,
Challenger Track KCNP,oxidised N,mgN/kg,0.13,
Challenger Track KCNP,total Kjeldahl N,mgN/kg,404.9,
Challenger Track KCNP,total N,mgN/kg,405.1,
Challenger Track KCNP,total P,mgP/kg,179.9,
Dyke KCNP,longitude,deg,151.2938889,
Dyke KCNP,latitude,deg,-33.57916667,
Dyke KCNP,pH,,6.11,
Dyke KCNP,% water,%,27.05,
Dyke KCNP,% organic matter,%,11.08,
Dyke KCNP,oxidised N,mgN/kg,0.09,
Dyke KCNP,total Kjeldahl N,mgN/kg,404.9,
Dyke KCNP,total N,mgN/kg,625.7,
Dyke KCNP,total P,mgP/kg,227,
