name_original,Wood density (g/cm^3),metadata_id,primary_source_id
Syzygium malaccense,0.523,45,43
Acacia aulacocarpa,0.594,46,44
Adenanthera pavonina,0.775,46,44
Agathis dammara,0.413,46,44
Aglaia cucullata,0.456,46,44
Aglaia indet,0.723,46,44
Ailanthus peekelii,0.465,46,44
Albizia falcataria,0.284,46,44
Albizia procera,0.560,46,44
Aleurites moluccana,0.327,46,44
Alphitonia moluccana,0.525,46,44
Alstonia brassii,0.551,46,44
Alstonia scholaris,0.327,46,44
Alstonia spectabilis,0.551,46,44
Anisoptera polyandra,0.551,46,44
Antiaris toxicaria,0.344,46,44
Araucaria cunninghamii,0.439,46,44
Araucaria hunsteinii,0.387,46,44
Artocarpus indet,0.461,46,44
Avicennia marina,0.732,46,44
Barringtonia asiatica,0.413,46,44
Beilschmiedia indet,0.581,46,44
Bischofia javanica,0.577,46,44
Bombax malabaricum,0.276,46,44
Brachychiton carruthersii,0.232,46,44
Breonia chinensis,0.349,46,44
Bridelia penangiana,0.465,46,44
Brownlowia argentata,0.396,46,44
Bruguiera gymnorhiza,0.796,46,44
Bruguiera parviflora,0.796,46,44
Buchanania heterophylla,0.284,46,44
Buchanania macrocarpa,0.284,46,44
Burckella obovata,0.629,46,44
Caldcluvia indet,0.577,46,44
Calophyllum inophyllum,0.534,46,44
Calophyllum papuanum,0.508,46,44
Campnosperma brevipetiolata,0.353,46,44
Cananga odorata,0.353,46,44
Canarium indicum,0.560,46,44
Canarium oleosum,0.482,46,44
Carallia brachiata,0.620,46,44
Casearia grewiifolia,0.491,46,44
Castanopsis acuminatissima,0.577,46,44
Casuarina equisetifolia,0.835,46,44
Casuarina papuana,0.835,46,44
Celtis kajewskii,0.491,46,44
Celtis nymanii,0.491,46,44
Celtis philippinensis,0.611,46,44
Cerbera floribunda,0.387,46,44
Chionanthus brassii,0.667,46,44
Chionanthus ramiflora,0.667,46,44
Chisocheton indet,0.508,46,44
Chisocheton schumannii,0.508,46,44
Chrysophyllum lanceolatum,0.387,46,44
Chrysophyllum rigescens,0.387,46,44
Chrysophyllum roxburghii,0.387,46,44
Cinnamomum culilawan,0.327,46,44
Colubrina papuana,0.809,46,44
Cordia myxa,0.396,46,44
Cordia subcordata,0.482,46,44
Cryptocarya alleniana,0.353,46,44
Cryptocarya crassinervia,0.353,46,44
Cryptocarya lanceolata,0.353,46,44
Cryptocarya palmerensis,0.353,46,44
Cynometra indet,0.818,46,44
Dacrydium nidulum,0.465,46,44
Dacrydium novo-guineense,0.465,46,44
Deplanchea tetraphylla,0.448,46,44
Dillenia papuana,0.551,46,44
Diospyros ferrea,0.646,46,44
Diospyros papuana,0.646,46,44
Dracontomelon puberulum,0.465,46,44
Drypetes indet,0.715,46,44
Duabanga moluccana,0.327,46,44
Dysoxylum muelleri,0.629,46,44
Dysoxylum pettigrewianum,0.629,46,44
Elaeocarpus novo-guineensis,0.327,46,44
Elaeocarpus sphaericus,0.327,46,44
Elmerrillia papuana,0.413,46,44
Endiandra indet,0.581,46,44
Endospermum medullosum,0.327,46,44
Engelhardtia nudiflora,0.422,46,44
Engelhardtia rigida,0.422,46,44
Erythrina merrilliana,0.207,46,44
Eucalyptus alba,0.870,46,44
Eucalyptus confertiflora,0.870,46,44
Eucalyptus deglupta,0.594,46,44
Eucalyptus papuana,0.870,46,44
Eucalyptus tereticornis,0.852,46,44
Eugenia indet,0.611,46,44
Euodia bonwickii,0.413,46,44
Euodia elleryana,0.327,46,44
Excoecaria agallocha,0.456,46,44
Fagraea berteroana,0.827,46,44
Ficus indet,0.517,46,44
Firmiana papuana,0.344,46,44
Flindersia amboinensis,0.663,46,44
Flindersia laevicarpa,0.594,46,44
Flindersia pimenteliana,0.594,46,44
Galbulimima belgraveana,0.511,46,44
Ganophyllum falcatum,0.663,46,44
Garcinia indet,0.697,46,44
Garcinia indet,0.715,46,44
Gardenia indet,0.663,46,44
Garuga floribunda,0.594,46,44
Geijera salicifolia,0.784,46,44
Glochidion philippicum,0.590,46,44
Gluta elegans,0.327,46,44
Gluta elegans,0.461,46,44
Gmelina moluccana,0.396,46,44
Gonystylus macrophyllus,0.560,46,44
Gordonia fragrans,0.577,46,44
Grevillea papuana,0.620,46,44
Halfordia papuana,0.895,46,44
Harpullia indet,0.616,46,44
Heritiera littoralis,0.689,46,44
Heritiera trifoliolata,0.689,46,44
Hernandia papuana,0.276,46,44
Hibiscus papuodendron,0.353,46,44
Homalium foetidum,0.728,46,44
Hopea iriana,0.852,46,44
Hopea papuana,0.603,46,44
Hopea parvifolia,0.852,46,44
Horsfieldia irya,0.387,46,44
Inocarpus fagiferus,0.357,46,44
Intsia bijuga,0.715,46,44
Intsia palembanica,0.672,46,44
Kleinhovia hospita,0.456,46,44
Koompassia indet,0.801,46,44
Koordersiodendron pinnatum,0.659,46,44
Lagerstroemia indet,0.620,46,44
Lithocarpus indet,0.577,46,44
Lithocarpus perclusus,0.577,46,44
Litsea domarensis,0.396,46,44
Lumnitzera littorea,0.663,46,44
Macaranga aleuritoides,0.327,46,44
Mangifera minor,0.525,46,44
Mangifera salomonensis,0.525,46,44
Manilkara fasciculata,0.758,46,44
Manilkara kanosiensis,0.878,46,44
Maniltoa psilogyne,0.663,46,44
Maranthes corymbosa,0.758,46,44
Mastixiodendron pachyclados,0.689,46,44
Melaleuca leucadendron,0.646,46,44
Mimosa umbellata,0.689,46,44
Mimusops elengi,0.827,46,44
Myristica buchneriana,0.387,46,44
Nauclea mitragyna,0.482,46,44
Nauclea orientalis,0.482,46,44
Nauclea tenuiflora,0.482,46,44
Nauclea undulata,0.482,46,44
Neonauclea calycina,0.689,46,44
Neonauclea maluensis,0.689,46,44
Neonauclea papuana,0.689,46,44
Neonauclea perspicuinervia,0.689,46,44
Neoscortechinia forbesii,0.654,46,44
Neuburgia collina,0.482,46,44
Nothofagus grandis,0.715,46,44
Nothofagus perryi,0.715,46,44
Ochroma pyramidale,0.164,46,44
Octomeles moluccana,0.301,46,44
Oreocallis brachycarpa,0.620,46,44
Palaquium indet,0.443,46,44
Pangium edule,0.508,46,44
Parartocarpus venenosa,0.534,46,44
Parastemon versteeghii,0.878,46,44
Parkia versteeghii,0.383,46,44
Pericopsis mooniana,0.697,46,44
Pimelodendron amboinicum,0.534,46,44
Planchonia papuana,0.646,46,44
Pleiogynium timorense,0.758,46,44
Podocarpus amara,0.370,46,44
Podocarpus hypophylla,0.465,46,44
Podocarpus latifolia,0.413,46,44
Podocarpus neriifolius,0.370,46,44
Polyalthia oblongifolia,0.508,46,44
Pometia acuminata,0.594,46,44
Pometia pinnata,0.594,46,44
Pometia pinnata,0.594,46,44
Pouteria kaernbachiana,0.456,46,44
Pouteria torricellensis,0.508,46,44
Prunus indet,0.448,46,44
Prunus indet,0.448,46,44
Pterocarpus indicus,0.525,46,44
Pterocymbium beccarii,0.310,46,44
Pterygota horsfieldii,0.663,46,44
Rhizophora apiculata,0.835,46,44
Rhizophora mucronata,0.835,46,44
Santalum macgregorii,0.689,46,44
Schizomeria serrata,0.551,46,44
Semecarpus magnifica,0.413,46,44
Siphonodon celastrineus,0.629,46,44
Sloanea forbesii,0.482,46,44
Sonneratia indet,0.620,46,44
Spondias dulcis,0.370,46,44
Sterculia conwentzii,0.276,46,44
