Spp Name,Order,Family,Genus,Species_Code,Plant_height_(m),Leaf_Area_cm2,Seed_Mass_g,"Plant_height_interpolated_(1=Y,0=N)","Leaf_Area_interpolated_(1=Y,0=N)","Seed_Mass_interpolated_(1=Y,0=N)",seed_mass_outcome,plant_height_outcome
Abrotanella forsteroides,Asterales,Asteraceae,Abrotanella,0,0.08,11.8909,3.972e-4,1,1,0,omit,keep
Abrotanella scapigera,Asterales,Asteraceae,Abrotanella,1,0.08,11.8909,5.008e-4,0,1,0,omit,keep
Acacia dealbata,Fabales,Fabaceae,Acacia,3,30,0.0471239,0.0151856,0,0,0,keep,keep
Acacia genistifolia,Fabales,Fabaceae,Acacia,6,3,0.942478,0.0150168,0,0,0,keep,keep
Acacia gunnii,Fabales,Fabaceae,Acacia,7,1,0.392699,0.0097957,0,0,0,keep,keep
Acacia longifolia,Fabales,Fabaceae,Acacia,8,3,32.9867,0.0157312,0,0,1,keep,keep
Acacia mearnsii,Fabales,Fabaceae,Acacia,9,15,0.031415927,0.0157312,0,0,1,keep,keep
Acacia melanoxylon,Fabales,Fabaceae,Acacia,10,30,32.9867,0.0157312,0,0,1,keep,keep
Acacia mucronata,Fabales,Fabaceae,Acacia,11,3.5,15.708,0.008198,0,0,0,keep,keep
Acacia myrtifolia,Fabales,Fabaceae,Acacia,12,3,21.2058,0.0157312,0,0,1,keep,keep
Acacia riceana,Fabales,Fabaceae,Acacia,16,10,1.1781,0.0120056,0,0,0,keep,keep
Acacia sophorae,Fabales,Fabaceae,Acacia,18,5,28.2743,0.0157312,0,0,1,keep,keep
Acacia stricta,Fabales,Fabaceae,Acacia,19,6,16.4934,0.0157312,0,0,1,keep,keep
Acacia suaveolens,Fabales,Fabaceae,Acacia,20,3,11.78097245,0.0347812,0,0,0,keep,keep
Acacia terminalis,Fabales,Fabaceae,Acacia,21,6,0.746128255,0.02181,0,0,0,keep,keep
Acacia ulicifolia,Fabales,Fabaceae,Acacia,22,2,0.176715,0.0157312,0,0,1,keep,keep
Acacia verniciflua,Fabales,Fabaceae,Acacia,23,10,10.60287521,0.0157312,0,0,1,keep,keep
Acacia verticillata,Fabales,Fabaceae,Acacia,24,10,1.37445,0.0090568,0,0,0,keep,keep
Acaena agnipila,Rosales,Rosaceae,Acaena,25,0.5,1.06029,0.00120107,0,0,1,keep,keep
Acaena echinata,Rosales,Rosaceae,Acaena,26,0.4,1.09956,0.00120107,0,0,1,keep,keep
Acaena montana,Rosales,Rosaceae,Acaena,27,0.32,0.798488,9.024e-4,1,1,0,omit,keep
Acaena novae-zelandiae,Rosales,Rosaceae,Acaena,28,0.1,0.235619,0.0010392,0,0,0,keep,keep
Acaena ovina,Rosales,Rosaceae,Acaena,29,0.5,0.798488,0.00120107,0,1,1,keep,keep
Acaena pallida,Rosales,Rosaceae,Acaena,30,0.1,0.798488,0.0016616,0,1,0,keep,keep
Acaena Xanserovina,Rosales,Rosaceae,Acaena,31,0.32,0.798488,0.00120107,1,1,1,keep,keep
Acetosella vulgaris,Polygonales,Polygonaceae,Acetosella,33,0.5,16.4934,0.00290512,0,0,1,keep,keep
Acianthus caudatus,Asparagales,Orchidacae,Acianthus,35,0.25,4.71239,1.24e-5,0,0,1,keep,keep
Acianthus exsertus,Asparagales,Orchidacae,Acianthus,36,0.24,7.85398,1.24e-5,0,0,1,keep,keep
Acianthus pusillus,Asparagales,Orchidacae,Acianthus,37,0.18,7.53982,1.24e-5,0,0,1,keep,keep
Acrothamnus hookeri,Ericales,Epacridaceae,Acrothamnus,44,0.5,0.180642,0.0020486,0,0,0,keep,keep
Acrotriche serrulata,Ericales,Ericaceae,Acrotriche,48,0.6,0.204204,0.00707748,0,0,1,keep,keep
Actinotus bellidioides,Apiales,Apiaceae,Actinotus,49,0.1,20.6717,8.076e-4,0,1,0,keep,keep
Actinotus moorei,Apiales,Apiaceae,Actinotus,50,0.1,20.6717,5.816e-4,0,1,1,keep,keep
Actinotus suffocatus,Apiales,Apiaceae,Actinotus,51,0.1,20.6717,3.556e-4,0,1,0,omit,keep
Actites megalocarpus,Asterales,Asteraceae,Actites,52,0.4,60.083,4.01868e-4,0,0,1,keep,keep
Adiantum aethiopicum,Polpodiales,Pteridaceae,Adiantum,53,0.5,0.785398,0.0033,0,0,1,keep,keep
Agastachys odorata,Proteales,Proteaceae,Agastachys,54,8,9.42478,0.0012444,0,0,0,omit,keep
Agrostis aemula,Poales,Poaceae,Agrostis,56,0.6,10.9956,0.00120732,0,0,1,keep,keep
Agrostis aff parviflora,Poales,Poaceae,Agrostis,58,0.35,1.88496,0.00120732,0,0,1,keep,keep
Agrostis aff scabra,Poales,Poaceae,Agrostis,59,0.35,1.88496,0.00120732,0,0,1,keep,keep
Agrostis avenacea,Poales,Poaceae,Agrostis,61,0.65,4.90874,0.00120732,0,0,1,keep,keep
Agrostis billardierei,Poales,Poaceae,Agrostis,63,0.75,2.35619,0.00120732,0,0,1,keep,keep
Agrostis venusta,Poales,Poaceae,Agrostis,70,0.4,0.628319,0.00120732,0,0,1,keep,keep
Ajuga australis,Lamiales,Lamiaceae,Ajuga,71,0.5,32.9867,0.0036948,0,0,0,keep,keep
Allocasuarina littoralis,Fagales,Casuarinaceae,Allocasuarina,75,15,1.5708,0.0017822,0,0,1,keep,keep
Allocasuarina monilifera,Fagales,Casuarinaceae,Allocasuarina,76,4,1.5708,0.0020004,0,0,0,keep,keep
Allocasuarina verticillata,Fagales,Casuarinaceae,Allocasuarina,78,10,3.14159,0.0017822,0,0,1,keep,keep
Allocasuarina zephyrea,Fagales,Casuarinaceae,Allocasuarina,79,6,0.00785398,0.001564,0,0,0,keep,keep
Almaleea subumbellata,Fabales,Fabaceae,Almaleea,80,1.2,0.188496,0.0019824,0,0,0,omit,keep
Alternanthera denticulata,Caryophyllales,Amaranthaceae,Alternanthera,82,0.4,3.76991,2.104e-4,0,0,0,keep,keep
Alyxia buxifolia,Gentianales,Apocynaceae,Alyxia,83,2,0.785398,0.0018368,0,0,1,keep,omit
Ammophila arenaria,Poales,Poaceae,Ammophila,85,1.2,8.18651,0.00120732,0,1,1,keep,keep
Amperea xiphoclada var xiphoclada,Malpighiales,Euphorbiaceae,Amperea,86,0.6,0.011781,0.0295763,0,0,1,keep,keep
Amphibromus archeri,Poales,Poaceae,Amphibromus,88,1.2,13.7445,4.624e-4,0,0,1,keep,omit
Amphibromus neesii,Poales,Poaceae,Amphibromus,90,1.5,0.251327,4.624e-4,0,0,1,keep,keep
Amphibromus recurvatus,Poales,Poaceae,Amphibromus,91,1,6.9979,4.624e-4,0,1,0,keep,keep
Anemone crassifolia,Ranunculales,Ranunculaceae,Anemone,98,0.35,19.3753,0.00166745,0,1,1,keep,omit
Anodopetalum biglandulosum,Oxalidales,Cunoniaceae,Anodopetalum,102,15,7.85398,0.001068,0,0,1,keep,omit
Anopterus glandulosus,Escalloniales,Escalloniaceae,Anopterus,104,10,53.4071,8.3e-4,0,0,0,keep,omit
Aotus ericoides,Fabales,Fabaceae,Aotus,107,2,0.785398,0.003288,0,0,0,keep,keep
Apalochlamys spectabilis,Asterales,Asteraceae,Apalochlamys,108,2,19.635,4.01868e-4,0,0,1,keep,omit
Aphanes australiana,Rosales,Rosaceae,Aphanes,109,0.1,3.34776,1.464e-4,0,1,0,keep,keep
Aphelia gracilis,Poales,Centrolepidaceae,Aphelia,110,0.04,0.19635,3.52e-5,0,0,0,keep,keep
Aphelia pumilio,Poales,Centrolepidaceae,Aphelia,111,0.03,0.15708,1.343e-4,0,0,0,keep,keep
Apium insulare,Apiales,Apiaceae,Apium,113,1,20.6717,0.0010856,1,1,0,keep,keep
Apium prostratum,Apiales,Apiaceae,Apium,114,1,20.6717,0.0014628,0,1,0,keep,keep
Apodasmia brownii,Poales,Restionaceae,Apodasmia,115,1.5,6.02139,8.156e-4,0,1,0,omit,keep
Apteropteris applanata,Hymenophyllales,Hymenophyllaceae,Apteropteris,117,0.1375,10.8123,0.0033,1,1,1,keep,keep
Arachnorchis dilatata,Asparagales,Orchidacae,Arachnorchis,118,0.35,31.4159,1.24e-5,0,0,1,keep,keep
Archeria comberi,Ericales,Epacridaceae,Archeria,119,1,0.0942478,3.12e-5,0,0,1,keep,keep
Archeria eriocarpa,Ericales,Epacridaceae,Archeria,120,4,0.282743,3.12e-5,0,0,1,keep,keep
Archeria hirtella,Ericales,Epacridaceae,Archeria,121,5,0.392699,3.12e-5,0,0,1,keep,keep
Archeria serpyllifolia,Ericales,Epacridaceae,Archeria,122,0.6,0.282743,3.12e-5,0,0,0,omit,keep
Argentipallium dealbatum,Asterales,Asteraceae,Argentipallium,124,0.9,0.353429,2.89e-4,0,0,0,keep,keep
Argyrotegium fordianum,Asterales,Asteraceae,Argyrotegium,127,0.2,2.35619,4.67e-5,0,0,1,keep,keep
Argyrotegium poliochlorum,Asterales,Asteraceae,Argyrotegium,130,0.12,1.09956,4.67e-5,0,0,0,keep,keep
Aristotelia peduncularis,Oxalidales,Elaeocarpaceae,Aristotelia,132,4,19.2423,0.0069592,0,0,0,omit,omit
Arrhenatherum elatius,Poales,Poaceae,Arrhenatherum,133,1.5,8.18651,0.00120732,0,1,1,keep,keep
Arthropodium milleflorum,Asparagales,Anthericaceae,Arthropodium,134,1,80.1106,0.0011108,0,0,0,keep,keep
Arthropodium minus,Asparagales,Anthericaceae,Arthropodium,135,55,13.3518,8.832e-4,0,0,0,keep,keep
Arthropodium strictum,Liliales,Liliaceae,Arthropodium,137,1,47.1239,0.0015148,0,0,0,keep,keep
Asperula conferta,Gentianales,Rubiaceae,Asperula,138,0.2,0.15708,0.0022113,0,0,0,keep,keep
Asperula gunnii,Gentianales,Rubiaceae,Asperula,139,0.2,0.15708,0.00150165,0,0,1,keep,keep
Asperula pusilla,Gentianales,Rubiaceae,Asperula,141,0.1,0.0942478,7.92e-4,0,0,0,omit,keep
Asplenium appendiculatum,Polypodiales,Aspleniaceae,Asplenium,144,0.51,0.785398,0.0033,1,1,1,keep,keep
Asplenium bulbiferum,Polypodiales,Aspleniaceae,Asplenium,145,0.6,0.785398,0.0033,0,1,1,keep,keep
Asplenium flabellifolium,Polypodiales,Aspleniaceae,Asplenium,146,0.2,0.785398,0.0033,0,0,1,keep,keep
Asplenium flaccidum,Polypodiales,Aspleniaceae,Asplenium,147,0.9,0.785398,0.0033,0,1,1,keep,keep
Asplenium obtusatum,Polypodiales,Aspleniaceae,Asplenium,149,0.6,0.785398,0.0033,0,0,1,keep,keep
Asplenium terrestre,Polypodiales,Aspleniaceae,Asplenium,150,0.51,0.785398,0.0033,1,1,1,keep,keep
Asplenium trichomanes,Polypodiales,Aspleniaceae,Asplenium,151,0.25,0.785398,0.0033,0,0,1,keep,keep
Astelia alpina,Asparagales,Asteliaceae,Astelia,152,0.3,17.6715,0.001158,0,0,0,keep,omit
Asterotrichion discolor,Malvales,Malvaceae,Asterotrichion,153,4,19.635,0.0014344,0,0,1,keep,keep
Astroloma humifusum,Ericales,Ericaceae,Astroloma,154,0.5,0.424115,0.0141451,0,0,0,keep,keep
Astroloma pinifolium,Ericales,Ericaceae,Astroloma,155,1,0.15708,0.0141451,0,0,1,keep,keep
Atherosperma moschatum subsp moschatum,Laurales,Atherospermataceae,Atherosperma,156,15,43.1969,0.0033,0,0,1,keep,keep
Athrotaxis cupressoides,Pinales,Cupressaceae,Athrotaxis,157,20,0.141372,0.00189,0,0,0,keep,keep
Athrotaxis laxifolia,Pinales,Cupressaceae,Athrotaxis,158,20,0.0282743,0.0015952,0,0,1,keep,keep
Athrotaxis selaginoides,Pinales,Cupressaceae,Athrotaxis,159,30,0.565487,0.0013004,0,0,0,keep,keep
Atriplex cinerea,Caryophyllales,Chenopodiaceae,Atriplex,163,2,15.708,0.011962,0,0,0,keep,keep
Atriplex paludosa,Caryophyllales,Chenopodiaceae,Atriplex,164,1,4.71239,0.011962,0,0,1,keep,omit
Atriplex prostrata,Caryophyllales,Chenopodiaceae,Atriplex,166,0.8,32.9867,0.011962,0,0,1,keep,keep
Australina pusilla,Rosales,Urticaceae,Australina,168,0.6,15.708,2.516e-4,0,0,0,keep,keep
Australopyrum pectinatum,Poales,Poaceae,Australopyrum,169,0.9,0.19635,0.0026128,0,1,0,keep,keep
Australopyrum velutinum,Poales,Poaceae,Australopyrum,170,0.5,0.19635,0.0026128,0,0,1,keep,keep
Austrodanthonia caespitosa,Poales,Poaceae,Austrodanthonia,172,0.9,8.18651,0.00120732,0,1,1,keep,keep
Austrodanthonia carphoides,Poales,Poaceae,Austrodanthonia,173,0.15,8.18651,0.00120732,0,1,1,keep,keep
Austrodanthonia diemenica,Poales,Poaceae,Austrodanthonia,174,0.35,8.18651,0.00120732,0,1,1,keep,keep
Austrodanthonia induta,Poales,Poaceae,Austrodanthonia,176,1.2,8.18651,0.00120732,0,1,1,keep,keep
Austrodanthonia laevis,Poales,Poaceae,Austrodanthonia,177,0.6,8.18651,0.00120732,0,1,1,keep,keep
Austrodanthonia penicillata,Poales,Poaceae,Austrodanthonia,178,0.3,8.18651,0.00120732,0,1,1,keep,keep
Austrodanthonia pilosa,Poales,Poaceae,Austrodanthonia,179,0.5,8.18651,0.00120732,0,1,1,keep,keep
Austrodanthonia racemosa,Poales,Poaceae,Austrodanthonia,181,0.6,8.18651,0.00120732,0,1,1,keep,keep
Austrodanthonia setacea,Poales,Poaceae,Austrodanthonia,183,0.5,8.18651,0.00120732,0,1,1,keep,keep
Austrodanthonia tenuior,Poales,Poaceae,Austrodanthonia,184,1.2,8.18651,0.00120732,0,1,1,keep,keep
Austrofestuca littoralis,Poales,Poaceae,Austrofestuca,186,0.3,8.18651,0.00120732,0,1,1,keep,keep
Austrostipa aphylla,Poales,Poaceae,Austrostipa,187,0.9,8.18651,0.00473928,0,1,1,keep,keep
Austrostipa bigeniculata,Poales,Poaceae,Austrostipa,188,1,8.18651,0.0044888,0,1,0,keep,keep
Austrostipa flavescens,Poales,Poaceae,Austrostipa,190,1.2,8.18651,0.0035844,0,1,0,keep,omit
Austrostipa mollis,Poales,Poaceae,Austrostipa,191,0.3,8.18651,0.0045172,0,1,0,keep,keep
Austrostipa nodosa,Poales,Poaceae,Austrostipa,192,1,8.18651,0.00473928,0,1,1,keep,omit
Austrostipa pubinodis,Poales,Poaceae,Austrostipa,193,1,8.18651,0.00473928,0,1,1,keep,keep
Austrostipa rudis,Poales,Poaceae,Austrostipa,194,1.2,8.18651,0.00473928,0,1,1,keep,keep
Austrostipa scabra,Poales,Poaceae,Austrostipa,195,0.6,8.18651,0.00473928,0,1,1,keep,keep
Austrostipa semibarbata,Poales,Poaceae,Austrostipa,196,1,8.18651,0.00473928,0,1,1,keep,keep
Austrostipa stipoides,Poales,Poaceae,Austrostipa,197,1.2,8.18651,0.0037016,0,1,0,keep,keep
Austrostipa stuposa,Poales,Poaceae,Austrostipa,198,1,8.18651,0.0074044,0,1,0,keep,keep
Azolla filiculoides,Salviniales,Salviniaceae,Azolla,200,0.2,3.14159,0.0033,0,0,1,keep,keep
Baeckea gunniana,Myrtales,Myrtaceae,Baeckea,201,1,0.0314159,1.084e-4,0,0,0,keep,keep
Baeckea leptocaulis,Myrtales,Myrtaceae,Baeckea,202,2,0.0314159,1.152e-4,0,0,0,keep,keep
Baeckea ramosissima,Myrtales,Myrtaceae,Baeckea,203,0.2,0.306305,1.118e-4,0,0,1,keep,keep
Baloskion australe,Poales,Restionaceae,Baloskion,204,0.7,0.549779,2.44e-4,0,0,0,keep,omit
Baloskion tetraphyllum,Poales,Restionaceae,Baloskion,205,1.6,0.628319,2.44e-4,0,0,1,keep,keep
Banksia marginata,Poales,Proteaceae,Banksia,207,12,9.42478,0.0061528,0,0,0,keep,omit
Batrachium trichophyllum,Ranunculales,Ranunculaceae,Batrachium,210,1.28333,0.019635,0.00166745,1,0,1,keep,keep
Bauera rubioides,Oxalidales,Cunoniaceae,Bauera,211,2,0.353429,0.001068,0,0,1,keep,omit
Baumea acuta,Poales,Cyperaceae,Baumea,212,0.3,5.89049,0.0015528,0,0,0,keep,keep
Baumea arthrophylla,Poales,Cyperaceae,Baumea,213,1,19.635,0.0021119,0,0,1,keep,keep
Baumea gunnii,Poales,Cyperaceae,Baumea,215,0.7,9.34624,0.0017132,0,0,0,keep,keep
Baumea juncea,Poales,Cyperaceae,Baumea,216,1.2,11.6239,0.0042392,0,1,0,keep,keep
Baumea rubiginosa,Poales,Cyperaceae,Baumea,217,0.8,11.6239,0.0021119,1,1,1,keep,keep
Baumea tetragona,Poales,Cyperaceae,Baumea,218,0.8,11.6239,9.424e-4,1,1,0,keep,keep
Bedfordia linearis,Asterales,Asteraceae,Bedfordia,220,5,41.2334,8.34e-4,0,0,0,keep,keep
Bedfordia salicina,Asterales,Asteraceae,Bedfordia,221,5,8.4823,5.392e-4,0,0,0,omit,keep
Bellendena montana,Proteales,Proteaceae,Bellendena,222,0.6,4.90874,0.013476,0,0,0,keep,keep
Beyeria lechenaultii,Malpighiales,Euphorbiaceae,Beyeria,224,1.5,0.942478,0.0133616,0,0,0,keep,keep
Beyeria viscosa,Malpighiales,Euphorbiaceae,Beyeria,225,4,5.89049,0.0321416,0,0,0,omit,keep
Billardiera longiflora,Apiales,Pittosporaceae,Billardiera,226,2.4,3.92699,0.0026088,0,0,0,keep,keep
Billardiera mutabilis,Apiales,Pittosporaceae,Billardiera,228,2.5,9.89602,0.0026088,0,0,1,keep,keep
Billardiera nesophila,Apiales,Pittosporaceae,Billardiera,229,1.8,4.71239,0.0026088,1,0,1,keep,keep
Billardiera scandens,Apiales,Pittosporaceae,Billardiera,232,0.5,9.89602,0.0026088,0,0,1,keep,keep
Blandfordia punicea,Asparagales,Asphodelaceae,Blandfordia,234,0.45,19.2423,0.0014464,0,1,0,omit,keep
Blechnum chambersii,Polypodiales,Blechnaceae,Blechnum,236,0.2,11.781,0.0033,0,1,1,keep,keep
Blechnum fluviatile,Polypodiales,Blechnaceae,Blechnum,237,0.5,11.781,0.0033,0,0,1,keep,keep
Blechnum minus,Polypodiales,Blechnaceae,Blechnum,238,0.7,11.781,0.0033,0,1,1,keep,keep
Blechnum nudum,Polypodiales,Blechnaceae,Blechnum,239,0.466667,11.781,0.0033,1,1,1,keep,keep
Blechnum patersonii,Polypodiales,Blechnaceae,Blechnum,240,0.466667,11.781,0.0033,1,1,1,keep,keep
Blechnum penna-marina,Polypodiales,Blechnaceae,Blechnum,241,0.466667,11.781,0.0033,1,1,1,keep,keep
Blechnum wattsii,Polypodiales,Blechnaceae,Blechnum,244,0.466667,11.781,0.0033,1,1,1,keep,keep
Bolboschoenus caldwellii,Poales,Cyperaceae,Bolboschoenus,245,0.9,13.7445,0.0041704,0,0,0,keep,keep
Boronia anemonifolia,Sapindales,Rutaceae,Boronia,247,2,0.106029,7.01825e-4,0,0,0,keep,keep
Boronia citriodora,Sapindales,Rutaceae,Boronia,248,1,0.176715,7.16075e-4,0,0,1,keep,keep
Boronia gunnii,Sapindales,Rutaceae,Boronia,250,1.2,0.490874,7.16075e-4,0,0,1,keep,omit
Boronia nana,Sapindales,Rutaceae,Boronia,253,25,0.392699,7.16075e-4,0,0,1,keep,keep
Boronia parviflora,Sapindales,Rutaceae,Boronia,254,1,1.5708,5.196e-4,0,0,0,keep,keep
Boronia pilosa,Sapindales,Rutaceae,Boronia,255,1,0.691805,7.16075e-4,0,1,1,keep,keep
Boronia rhomboidea,Sapindales,Rutaceae,Boronia,256,0.5,1.41372,9.268e-4,0,0,0,omit,keep
Bossiaea cinerea,Sapindales,Fabaceae,Bossiaea,258,1,0.785398,0.0137392,0,0,0,keep,keep
Bossiaea cordigera,Sapindales,Fabaceae,Bossiaea,259,2,0.329867,0.002338,0,0,0,omit,keep
Bossiaea prostrata,Sapindales,Fabaceae,Bossiaea,261,1.5,1.88496,0.0028876,0,0,0,omit,keep
Bossiaea riparia,Sapindales,Fabaceae,Bossiaea,262,1,0.00785398,0.0016248,0,0,0,keep,keep
Brachyloma ciliatum,Ericales,Epacridaceae,Brachyloma,265,0.2,0.362854,0.0010399,0,0,1,keep,keep
Brachyscome aculeata,Asterales,Asteraceae,Brachyscome,268,0.6,15.708,3.96e-4,0,0,0,keep,keep
Brachyscome cardiocarpa,Asterales,Asteraceae,Brachyscome,270,0.3,13.8544,3.323e-4,0,1,1,keep,omit
Brachyscome ciliaris var ciliaris,Asterales,Asteraceae,Brachyscome,271,0.45,13.8544,3.323e-4,0,1,1,keep,keep
Brachyscome decipiens,Asterales,Asteraceae,Brachyscome,272,0.2,15.708,3.323e-4,0,0,1,keep,keep
Brachyscome graminea,Asterales,Asteraceae,Brachyscome,274,0.7,7.6969,3.844e-4,0,0,0,keep,omit
Brachyscome sieberi var gunnii,Asterales,Asteraceae,Brachyscome,280,0.444286,13.8544,3.323e-4,1,1,1,keep,keep
Brachyscome spathulata,Asterales,Asteraceae,Brachyscome,281,0.6,16.0221,3.284e-4,0,0,0,keep,keep
Brachyscome tenuiscapa,Asterales,Asteraceae,Brachyscome,282,0.26,14.1372,2.204e-4,0,0,0,omit,keep
Bracteantha bracteata,Asterales,Asteraceae,Bracteantha,283,0.8,15.708,4.01868e-4,0,0,1,keep,keep
Bracteantha subundulata,Asterales,Asteraceae,Bracteantha,285,0.6,15.708,4.01868e-4,0,1,1,keep,keep
Bromus catharticus,Poales,Poaceae,Bromus,288,1,18.8496,0.00120732,0,0,1,keep,keep
Brunonia australis,Asterales,Goodeniaceae,Brunonia,290,0.5,20.8196,0.0014416,0,1,0,keep,keep
Bulbine bulbosa,Asparagales,Asphodelaceae,Bulbine,292,0.3,11.781,0.0017954,0,0,1,keep,keep
Bulbine glauca,Asparagales,Asphodelaceae,Bulbine,294,1.1,35.3429,0.0024152,0,0,0,omit,keep
Bulbine semibarbata,Asparagales,Asphodelaceae,Bulbine,295,0.5,10.6029,0.0011756,0,0,0,keep,keep
Burchardia umbellata,Liliales,Colchicaceae,Burchardia,299,0.6,18.8496,7.352e-4,0,0,1,keep,keep
Bursaria spinosa subsp spinosa,Apiales,Pittosporaceae,Bursaria,301,10,3.03949,0.00136,0,0,0,keep,keep
Caesia alpina,Asparagales,Anthericaceae,Caesia,302,0.15,2.35619,0.00151515,0,0,1,keep,keep
Caesia calliantha,Asparagales,Anthericaceae,Caesia,303,0.5,58.9049,0.0021952,0,0,0,keep,keep
Caesia parviflora,Asparagales,Anthericaceae,Caesia,304,0.4,25.1327,8.351e-4,0,0,0,keep,keep
Caladenia alpina,Asparagales,Orchidacae,Caladenia,306,0.22,20.7345,3.67e-6,0,0,1,keep,keep
Caladenia angustata,Asparagales,Orchidacae,Caladenia,307,0.1,16.4835,3.67e-6,0,1,1,keep,keep
Caladenia carnea,Asparagales,Orchidacae,Caladenia,315,0.3,4.71239,5.2e-6,0,0,0,keep,keep
Caladenia catenata,Asparagales,Orchidacae,Caladenia,316,0.2,37.6991,3.67e-6,0,0,1,keep,keep
Caladenia caudata,Asparagales,Orchidacae,Caladenia,317,0.15,14.1372,4e-6,0,0,0,keep,keep
Caladenia clavigera,Asparagales,Orchidacae,Caladenia,318,0.4,14.1372,3.67e-6,0,0,1,keep,keep
Caladenia congesta,Asparagales,Orchidacae,Caladenia,320,0.6,8.4823,3.67e-6,0,0,1,keep,keep
Caladenia cucullata,Asparagales,Orchidacae,Caladenia,322,0.25,7.85398,3.67e-6,0,0,1,keep,keep
Caladenia deformis,Asparagales,Orchidacae,Caladenia,323,0.15,16.4835,3.67e-6,0,1,1,keep,omit
Caladenia echidnachila,Asparagales,Orchidacae,Caladenia,326,0.4,16.4835,3.67e-6,0,1,1,keep,keep
Caladenia filamentosa,Asparagales,Orchidacae,Caladenia,327,0.4,4.24115,3.67e-6,0,0,1,keep,keep
Caladenia gracilis,Asparagales,Orchidacae,Caladenia,329,0.4,14.1372,3.67e-6,0,0,1,keep,keep
Caladenia latifolia,Asparagales,Orchidacae,Caladenia,332,0.4,47.1239,3.88e-6,0,0,0,keep,keep
Caladenia minor,Asparagales,Orchidacae,Caladenia,337,0.30125,16.4835,3.67e-6,1,1,1,keep,keep
Caladenia patersonii,Asparagales,Orchidacae,Caladenia,339,0.35,17.6715,3.67e-6,0,0,1,keep,keep
Caladenia pusilla,Asparagales,Orchidacae,Caladenia,341,0.15,16.4835,3.67e-6,0,1,1,keep,keep
Caladenia tonellii,Asparagales,Orchidacae,Caladenia,344,0.35,6.87223,1.6e-6,0,0,0,keep,keep
Calandrinia calyptrata,Caryophyllales,Portulacaceae,Calandrinia,347,0.2,1.92423,1.008e-4,0,0,0,keep,keep
Caleana major,Asparagales,Orchidacae,Caleana,351,0.5,7.53982,1.24e-5,0,0,1,keep,keep
Callistemon pallidus,Myrtales,Myrtaceae,Callistemon,353,5,8.24668,7.36163e-4,0,0,1,keep,keep
Callistemon viridiflorus,Myrtales,Myrtaceae,Callistemon,355,2.5,3.92699,7.36163e-4,0,0,1,keep,keep
Callitris oblonga subsp oblonga,Pinales,Cupressaceae,Callitris,359,5,0.0314159,0.004544,0,0,0,keep,omit
Callitris rhomboidea,Pinales,Cupressaceae,Callitris,360,6,0.0235619,0.007898,0,0,0,keep,omit
Calocephalus citreus,Asterales,Asteraceae,Calocephalus,362,0.6,0.314159,6.36e-5,0,0,0,keep,keep
Calochilus herbaceus,Asparagales,Orchidacae,Calochilus,365,0.4,18.8496,3.2e-6,0,1,0,keep,keep
Calochilus paludosus,Asparagales,Orchidacae,Calochilus,367,0.35,7.06858,3.2e-6,0,0,1,keep,keep
Calochilus robertsonii,Asparagales,Orchidacae,Calochilus,369,0.46,30.6305,3.2e-6,0,0,1,keep,keep
Calochlaena dubia,Polypodiales,Dickconiaceae,Calochlaena,370,1.5,1.374446786,0.0033,0,1,1,keep,keep
Calorophus elongatus,Poales,Restionaceae,Calorophus,371,2.5,6.02139,0.0014557,0,1,1,keep,keep
Calorophus erostris,Poales,Restionaceae,Calorophus,372,2.5,6.02139,0.0014557,1,1,1,keep,keep
Caltha phylloptera,Ranunculales,Ranunculaceae,Caltha,373,0.08,4.71239,0.00166745,0,0,1,keep,keep
Calytrix tetragona,Myrtales,Myrtaceae,Calytrix,377,2,0.0942478,0.0016356,0,0,0,keep,keep
Campynema lineare,Liliales,Liliaceae,Campynema,378,0.3,56.5487,0.00277133,0,1,1,keep,keep
Cardamine gunnii,Brassicales,Brassicaceae,Cardamine,382,0.25,0.785398,6.57467e-4,0,1,1,keep,keep
Cardamine lilacina,Brassicales,Brassicaceae,Cardamine,383,0.5,0.785398,6.57467e-4,0,1,1,keep,keep
Cardamine paucijuga,Brassicales,Brassicaceae,Cardamine,385,0.4,0.785398,6.57467e-4,0,1,1,keep,omit
Carex appressa,Poales,Cyperaceae,Carex,387,0.45,0.424115,7.1324e-4,0,0,0,keep,keep
Carex archeri,Poales,Cyperaceae,Carex,388,0.65,4.39593,0.00143,1,1,1,keep,keep
Carex breviculmis,Poales,Cyperaceae,Carex,391,0.2,0.0015708,0.00143,0,0,1,keep,keep
Carex demissa,Poales,Cyperaceae,Carex,397,0.05,4.39593,0.00143,0,1,1,keep,keep
Carex diandra,Poales,Cyperaceae,Carex,398,0.05,4.39593,0.00143,0,1,1,keep,keep
Carex fascicularis,Poales,Cyperaceae,Carex,399,1,2.74889,0.0015076,0,0,0,keep,keep
Carex gaudichaudiana,Poales,Cyperaceae,Carex,401,0.9,0.706858,0.0011184,0,0,0,keep,keep
Carex gunniana,Poales,Cyperaceae,Carex,402,0.7,43.9823,0.0031976,0,0,0,keep,keep
Carex inversa,Poales,Cyperaceae,Carex,404,0.5,0.785398,7.792e-4,0,0,0,keep,keep
Carex iynx,Poales,Cyperaceae,Carex,405,1,1.33518,0.0022432,0,0,0,keep,keep
