Site,"Latitude, Longitude",Date,Day,Time,Patch,Umbel phase,#umbel/patch,"Native bee (Colletidae, Halictidae)",Ant,Fly,Stripey fly,Hoverfly,Mosquito fly,Butterfly / moth,Honeybee,Beetle,Wasp,grasshopper?,orange/brown bug,orange/silver bug,green flower spider,green bug,small spider,green caterpillar eating umbels,black weevil?,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,9am,3,female,4,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,9am,4,male,5,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,9am,4,female,3,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,9am,5,male,9,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,9am,5,female,2,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,9am,6,male,13,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,9am,6,female,3,,,,1,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,12pm,1,male,14,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,12pm,1,female,7,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,12pm,2,male,9,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,12pm,2,female,2,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,12pm,3,male,8,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,12pm,3,female,4,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,12pm,4,male,5,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,12pm,4,female,3,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,12pm,5,male,9,1,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,12pm,5,female,2,,,,,,1,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,12pm,6,male,13,1,,2,,,,,,,,,,,1,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,12pm,6,female,3,1,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,3pm,1,male,14,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,3pm,1,female,7,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,3pm,2,male,9,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,3pm,2,female,2,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,3pm,3,male,8,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,3pm,3,female,4,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,3pm,4,male,5,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,3pm,4,female,3,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,3pm,5,male,9,,,1,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,3pm,5,female,2,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,3pm,6,male,13,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",13/1/2004,1,3pm,6,female,3,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",14/1/2004,2,9am,1,male,12,,,,,1,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",14/1/2004,2,9am,1,female,11,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",14/1/2004,2,9am,2,male,8,,1,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",14/1/2004,2,9am,2,female,3,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",14/1/2004,2,9am,3,male,8,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",14/1/2004,2,9am,3,female,3,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",14/1/2004,2,9am,4,male,7,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",14/1/2004,2,9am,4,female,3,,,,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",14/1/2004,2,9am,5,male,9,,,5,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",14/1/2004,2,9am,5,female,2,,,1,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",14/1/2004,2,9am,6,male,9,,,1,,,,,,,,,,,,,,,,,
Tomago Sandbeds,"32°47′S, 151°51′E",14/1/2004,2,9am,6,female,7,,,3,,,,,,,,,,,,,,,,,
