Species,date_gas_exchange,Temp,CO2,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),CiCa,Trmmol (mmol m-2 s-1),VpdL (kPa),Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi,date_isotope_analysis,leaf_percentN,leaf_d15N,leaf_CN,leaf_percentC,leaf_d13C,stem_percentN,stem_d15N,stem_CN,stem_percentC,stem_d13C,root_percentN,root_d15N,root_CN,root_percentC,root_d13C,StemFW (g),InitialLeafLA (cm-2),NewLeafLA (cm-2),TotalLA (cm-2),InitialLeafFW (g),NewLeafFW (g),TotalLeafFW (g),StemDW (g),InitialLeafDW (g),NewLeafDW (g),TotalLeafDW (g),LMA (g m-2),leaf_area_ratio,Rep,GrowthPeriod,LaminaT (um),abaxialEpiT (um),adaxialEpiT (um),percentMucilage (%),percentMesophyll (%),percentVascular (%),abaxialEpiDen (mm-2),abaxialStomDen (mm-2),abaxialSI (%),adaxialEpiDen (mm-2),adaxialStomDen (mm-2),adaxialSI (%),PAR_round,PAR_desc,context
Wollemia nobilis,NA,Amb,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,T1,435.19,28.59,30.37,20.31,51.59,4.38,2046.05,177.63,7.99,1717.11,19.74,1.14,NA,,Amb_Temp_and_280_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Amb,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,T1,365.8,17.06,28.63,13.65,50.69,4.01,1835.53,184.21,9.12,1355.26,13.16,0.96,NA,,Amb_Temp_and_280_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Amb,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,T1,437.05,23.23,31.4,21.32,48.92,4.98,1907.89,92.11,4.61,1664.47,13.16,0.78,NA,,Amb_Temp_and_280_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Amb,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,T1,398.99,26.8,30.99,14.88,52.9,5.23,1638.16,144.74,8.12,1361.84,6.58,0.48,NA,,Amb_Temp_and_280_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Amb,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T2,418.53,24.11,35.71,26.2,48.95,2.87,967.11,52.63,5.16,802.63,0,0,NA,,Amb_Temp_and_280_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Amb,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,T2,431.49,25,30.36,17.65,59.81,4.48,1223.68,92.11,7,848.68,6.58,0.77,NA,,Amb_Temp_and_280_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Amb,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,T2,388.03,22.34,33.08,18.34,47.11,4.8,1019.74,72.37,6.63,743.42,13.16,1.74,NA,,Amb_Temp_and_280_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Amb,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,T2,447.22,34.83,27.74,25.66,49.53,3.62,1065.79,105.26,8.99,835.53,13.16,1.55,NA,,Amb_Temp_and_280_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Amb,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,T2,412.05,26.79,26.8,14.59,65.28,3.74,848.68,65.79,7.19,789.47,0,0,NA,,Amb_Temp_and_280_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Amb,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T3,433.34,30.41,23.28,34.13,44.03,4.03,1105.26,98.68,8.2,1105.26,19.74,1.75,NA,,Amb_Temp_and_280_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Amb,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,T3,465.74,34.83,35.82,19.04,48.77,4.41,1078.95,92.11,7.87,1000,6.58,0.65,NA,,Amb_Temp_and_280_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Amb,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,T3,513.89,36.71,37.51,23.26,45.9,4,1098.68,111.84,9.24,953.95,0,0,NA,,Amb_Temp_and_280_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Amb,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,T3,496.32,23.65,28.47,23.32,52.19,3.76,1164.47,118.42,9.23,809.21,0,0,NA,,Amb_Temp_and_280_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Amb,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,T3,524.08,21.6,30.36,24.2,57.69,5.03,1111.84,92.11,7.65,1197.37,0,0,NA,,Amb_Temp_and_280_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Amb,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T1,403,17.54,33.13,8.58,64.06,5.56,1526.32,138.16,8.3,1000,0,0,NA,,Amb_Temp_and_400_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Amb,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,T1,381.2,15.21,22.39,26.2,45.56,4.98,1447.37,151.32,9.47,1164.47,6.58,0.56,NA,,Amb_Temp_and_400_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Amb,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,T1,378.88,19.83,17.88,17.03,51.4,6.43,1618.42,151.32,8.55,1723.68,0,0,NA,,Amb_Temp_and_400_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Amb,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,T1,370.3,19.66,30.83,8.9,57.47,4.05,2059.21,184.21,8.21,1125,13.16,1.16,NA,,Amb_Temp_and_400_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Amb,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,T1,397.41,28.59,23.44,20.65,47.01,4.25,1618.42,164.47,9.23,1230.26,0,0,NA,,Amb_Temp_and_400_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Amb,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T2,506.48,28.59,52.69,16.48,54,4.6,1203.95,118.42,8.96,1019.74,0,0,NA,,Amb_Temp_and_400_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Amb,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,T2,468.36,21.43,39.33,23.42,48.3,5.1,1092.11,92.11,7.78,1039.47,0,0,NA,,Amb_Temp_and_400_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Amb,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,T2,518.55,35.82,53.57,21.41,51.28,4.72,1131.58,85.53,7.03,1177.63,0,0,NA,,Amb_Temp_and_400_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Amb,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,T2,529.43,34.83,61.3,20.22,49.59,7.21,1315.79,151.32,10.31,1157.89,13.16,1.12,NA,,Amb_Temp_and_400_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Amb,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,T2,555.36,29.95,43.01,27.09,51.22,4.34,1315.79,125,8.68,1085.53,6.58,0.6,NA,,Amb_Temp_and_400_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Amb,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T3,545.43,29.52,34.92,20.56,51.52,4.72,1059.21,98.68,8.52,796.05,0,0,NA,,Amb_Temp_and_400_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Amb,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,T3,436.13,31.64,26.44,12.5,59.93,6.35,980.26,118.42,10.78,828.95,0,0,NA,,Amb_Temp_and_400_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Amb,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,T3,428.79,28.85,38.35,21.91,51.08,3.13,1085.53,72.37,6.25,901.32,0,0,NA,,Amb_Temp_and_400_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Amb,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,T3,488.22,17.88,22.59,16.58,59.04,3.13,1230.26,131.58,9.66,914.47,0,0,NA,,Amb_Temp_and_400_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Amb,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,T3,506.87,25.25,30.99,29.42,43.04,4.77,1085.53,46.05,4.07,980.26,26.32,2.61,NA,,Amb_Temp_and_400_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Amb,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T1,607.38,27.16,38.9,28.08,65.57,3.58,1776.32,157.89,8.16,1526.32,0,0,NA,,Amb_Temp_and_640_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Amb,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,T1,532.22,35.95,26.79,20.9,59.54,2.85,1513.16,151.32,9.09,1394.74,13.16,0.93,NA,,Amb_Temp_and_640_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Amb,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,T1,395.3,17.56,34.22,14.55,63.42,5.55,1467.11,171.05,10.44,1315.79,0,0,NA,,Amb_Temp_and_640_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Amb,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,T1,446.64,20.53,31.05,21.98,55.8,3.19,1519.74,125,7.6,1368.42,19.74,1.42,NA,,Amb_Temp_and_640_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Amb,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,T1,414.06,29.37,43.1,12.29,56.58,4.24,1763.16,164.47,8.53,1289.47,6.58,0.51,NA,,Amb_Temp_and_640_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Amb,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T2,421.59,35.74,33.98,14.84,54.24,3.12,1309.21,118.42,8.29,1230.26,6.58,0.53,NA,,Amb_Temp_and_640_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Amb,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,T2,326.22,29.8,21.43,5.29,54.64,2.96,1250,138.16,9.95,986.84,0,0,NA,,Amb_Temp_and_640_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Amb,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,T2,290.29,27.69,21.02,14.37,46.29,6.57,1500,151.32,9.16,914.47,0,0,NA,,Amb_Temp_and_640_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Amb,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,T2,341.95,23.21,25.25,6.35,55.28,3.38,1447.37,157.89,9.84,1263.16,6.58,0.52,NA,,Amb_Temp_and_640_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Amb,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,T2,419.27,28.38,43.97,21.47,51.7,4.01,1486.84,144.74,8.87,1230.26,13.16,1.06,NA,,Amb_Temp_and_640_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Amb,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T3,434.83,30.12,46.85,18.38,45.35,4.45,1361.84,125,8.41,1105.26,6.58,0.59,NA,,Amb_Temp_and_640_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Amb,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,T3,428.93,29.37,36.48,23.95,43.52,4.65,1151.32,78.95,6.42,1105.26,13.16,1.18,NA,,Amb_Temp_and_640_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Amb,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,T3,456.24,26.03,47.33,15.41,47.57,6.27,1592.11,131.58,7.63,1105.26,0,0,NA,,Amb_Temp_and_640_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Amb,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,T3,468.96,37,36.61,28.76,44.39,4.27,1190.79,85.53,6.7,1125,13.16,1.16,NA,,Amb_Temp_and_640_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Amb,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,T3,468.04,33.13,28.57,28.11,43.21,4.76,1111.84,78.95,6.63,1164.47,0,0,NA,,Amb_Temp_and_640_ppm_CO2_at_growth_period_T3
Wollemia nobilis,NA,Elv,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T1,439.37,21.02,33.8,17.77,52.18,3.62,1217.11,118.42,8.87,1236.84,0,0,NA,,Elv_Temp_and_280_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Elv,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,T1,526.52,30.32,39.29,16.53,59.62,5.55,1493.42,171.05,10.28,1223.68,6.58,0.53,NA,,Elv_Temp_and_280_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Elv,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,T1,554.49,42.08,47.86,15.24,58.26,4.79,1769.74,230.26,11.51,1730.26,72.37,4.01,NA,,Elv_Temp_and_280_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Elv,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,T1,532.47,29.25,46.85,13.3,57.05,6.06,1934.21,243.42,11.18,1763.16,32.89,1.83,NA,,Elv_Temp_and_280_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Elv,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,T1,428.86,25.95,22.32,12.42,57.57,5.07,1407.89,144.74,9.32,1223.68,13.16,1.06,NA,,Elv_Temp_and_280_ppm_CO2_at_growth_period_T1
Wollemia nobilis,NA,Elv,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T2,355.56,25.14,31.45,18.44,49.21,4.32,1105.26,78.95,6.67,1230.26,26.32,2.09,NA,,Elv_Temp_and_280_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Elv,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,T2,437.07,22.39,48.58,15.03,51.16,4.19,1296.05,131.58,9.22,1236.84,26.32,2.08,NA,,Elv_Temp_and_280_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Elv,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,T2,469.02,24.57,36.11,19.82,54.46,5.95,1026.32,78.95,7.14,782.89,0,0,NA,,Elv_Temp_and_280_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Elv,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,T2,382.63,31.45,30.68,11.41,64.94,4.83,1052.63,65.79,5.88,953.95,19.74,2.03,NA,,Elv_Temp_and_280_ppm_CO2_at_growth_period_T2
Wollemia nobilis,NA,Elv,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,T2,475.26,24.11,48.16,12.4,55.19,5.01,1098.68,98.68,8.24,1309.21,32.89,2.45,NA,,Elv_Temp_and_280_ppm_CO2_at_growth_period_T2
