variable,label,units,type,min_value,max_value,description
altitude,Site altitude,m,numeric,1,10000,NA
aquatic,Aquatic,NA,character,NA,NA,NA
bark_thickness,Bark thickness,mm,numeric,0.861,4.296,NA
dispersal_appendage,Dispersal unit appendages,NA,character,NA,NA,NA
dispersal_structures_freshMass,Dispersal structures fresh mass,mg,numeric,0.001,1000000,NA
dispersal_syndrome,Dispersal syndrome,NA,character,NA,NA,NA
easting,Easting,degrees,numeric,NA,NA,NA
fire_response,Plant response to fire,NA,character,NA,NA,NA
flowering_month_end,Flowering month end,NA,character,NA,NA,NA
flowering_month_start,Flowering month start,NA,character,NA,NA,NA
flowering_time,Plant reproductive phenology timing (flowering),NA,character,NA,NA,NA
fruit_diameter,Fruit diameter,mm,numeric,0.001,1000000,NA
fruit_length,Fruit length,mm,numeric,0.001,0.001,NA
fruit_type,Fruit type,NA,character,NA,NA,NA
fruit_type_botany,Fruit type (fleshy / dry),NA,character,NA,NA,NA
fruit_type_function,Fruit type (fleshy / dry),NA,character,NA,NA,NA
fruiting_time,Plant reproductive phenology timing (fruiting),NA,character,NA,NA,NA
genome_size,Plant genome size,pg,numeric,0.001,1000000,NA
gl N,,mg g-1,numeric,NA,NA,NA
gl P,,mg g-1,numeric,NA,NA,NA
glaucous,Glaucous,NA,character,NA,NA,NA
growth_form,Plant Growth Form,NA,character,NA,NA,NA
growth_habit,Growth habit (data actually describes plant vegetative reproduction capacity),NA,character,NA,NA,NA
LAR,Leaf area per plant dry mass,mm2 mg-1,numeric,43.1,193.2,NA
LDMC,"Leaf dry mass per leaf fresh mass (Leaf dry matter content, LDMC)",g g-1,numeric,0,97.5,NA
leaf_age,Leaf age (categorical),NA,character,NA,NA,NA
leaf_area,Leaf area,mm2,numeric,0,21189740,NA
leaf_C_perArea,Leaf carbon (C) content per leaf area,g m-2,numeric,288.66,842.06,NA
leaf_C_perDryMass,Leaf carbon (C) content per leaf dry mass,mg g-1,numeric,3700,5250,NA
leaf_cellWall_fraction,Leaf cell wall fraction (fraction of cell wall material recovered from total leaf biomass),dimensionless,numeric,2.2,6.7,NA
