Family,Species,Seed germination Treatment,Primary Nutrient acquisition strategy,Secondary Nutrient acquisition strategy,N-fixing,Seed storage,Fire response,Individual seed (mg,source_id Nutrient Acquisition and N-fixing species,source_id Seed storage,source_id Fire response
Fabaceae,Acacia pulchella,"HW, S",AM,None,Yes,Soil,Death,4.3,Zemunik_2016,Maher_2009; Bell_1993,Bell_1993; Veber_2016
Fabaceae,Bossiaea eriocarpa,"HW, S",AM,Cluster,Yes,Soil,Death,2.1,Zemunik_2016; Zemunik_2015,Maher_2009; Bell_1993; D’Agui_2017,Bell_1993; Veber_2016; D’Agui_2017
Fabaceae,Daviesia nudiflora,"HW, S",Cluster,AM,Yes,Soil,Resprouter,23.9,Zemunik_2016; Brundrett_2008; Brundrett_1991; Groom_2015; Skene_1998; Stewart_1993,D’Agui_2017; He_2010,D’Agui_2017; He_2010
Fabaceae,Gastrolobium spinosum,HW,ECM,AM,Yes,Soil,Death,8,Brundrett_2008; Groom_2015; Teste_2017,Bell_1993,Bell_1993; Hanley_2003
Fabaceae,Gompholobium knightianum,"HW, S",AM,ECM,Yes,Soil,Death,2.2,Veber_2016; Brundrett_1991; Groom_2015,Veber_2016; Bell_199Veber_2016; Bell_1995,Veber_2016; Hanley_2003; Bell_1994; Bell_1995
Fabaceae,Gompholobium tomentosum,"HW, S",AM,ECM,Yes,Soil,Death,1.3,Zemunik_2016; Brundrett_1991; Groom_2015; He_2010,Veber_2016; He_2010; Bell_1995,Pate_1985; Veber_2016; He_2010; Bell_1995
Fabaceae,Jacksonia floribunda,"HW, S",AM,ECM,Yes,Soil,Resprouter,7.6,Zemunik_2016; Brundrett_1991,Bell_1993; He_2010,Bell_1993; He_2010; Pate_1985; Herath_2009
Fabaceae,Jacksonia sternbergiana,"HW, S",AM,Cluster,Yes,Soil,Death,9.8,Zemunik_2016,Bell_1993; Veber_2016,Bell_1993; Veber_2016
Fabaceae,Kennedia prostrata,"HW, S",AM,Cluster,Yes,Soil,Death,36.3,Brundrett_2008; Brundrett_1991; Groom_2015; Adams_2002,Maher_2009; Veber_2016; Bell_1994,Veber_2016; Bell_1994; Bell_1995; Pate_1999
Fabaceae,Viminaria juncea,None,Cluster,AM,Yes,Soil,Death,6,Brundrett_1991; Groom_2015; Adams_2002; deCampos_2013,Bell_1993,Bell_1993; Auld_1991
Myrtaceae,Beaufortia elegans,None,ECM,AM,No,Canopy,Death,0.5,Brundrett_2008,Bell_1993; Veber_2016; Groom_2015,Bell_1993; Veber_2016; Pate_1985; Perry_2009
Myrtaceae,Calothamnus hirsutus,None,ECM,None,No,Canopy,Resprouter,0.04,Zemunik_2016,Veber_2016; Groom_2015,Veber_2016; Bell_1994
Myrtaceae,Calytrix flavescens,Sm,AM,None,No,Soil,Death,1.7,Zemunik_2016,Maher_2009; Bell_1993,Maher_2009; Bell_1993
Myrtaceae,Eremaea asterocarpa,None,ECM,AM,No,Canopy,Resprouter,1.3,Zemunik_2016; Zemunik_2015; Teste_2017,Bell_1993,Bell_1993
Myrtaceae,Eucalyptus todtiana,None,ECM,AM,No,Canopy,Resprouter,8.2,Zemunik_2016; Teste_2017,Bell_1993; He_2010,Bell_1993; He_2010
Myrtaceae,Hypocalymma angustifolium,Sm,AM,ECM,No,Soil,Resprouter,0.32,Brundrett_1991; Zemunik_2016; Brundrett_2008; Groom_2015,Bell_1993,Bell_1993
Myrtaceae,Leptospermum erubescens,None,ECM,None,No,Canopy,Resprouter,0.04,Brundrett_2008,Bell_1993,Bell_1993
Myrtaceae,Melaleuca seritia,None,ECM,AM,No,Canopy,Resprouter,0.04,Zemunik_2016; Brundrett_2008,Bell_1993,Bell_1993
Myrtaceae,Scholtzia laxiflora,None,AM,None,No,Soil,Resprouter,1.1,Zemunik_2016,Bell_1993; D’Agui_2017,Bell_1993; D’Agui_2017
Myrtaceae,Verticordia densiflora,Sm,AM,None,No,Soil,Resprouter,2.5,Zemunik_2016,Veber_2016; D’Agui_2017; Pate_1999,Veber_2016; D’Agui_2017; Pate_1999; Pate_1990
Proteaceae,Banksia attenuata,None,Cluster,None,No,Canopy,Resprouter,103.7,Zemunik_2016; He_2010,Bell_1993; He_2010,Bell_1993; He_2010; Pate_1985
Proteaceae,Banksia telmatiaea,None,Cluster,None,No,Canopy,Death,18.5,Lamont_1982,Veber_2016,Lamont_1995
Proteaceae,Conospermum stoechadis,Sm,Cluster,None,No,Soil,Resprouter,5.1,Zemunik_2016,Bell_1993,Bell_1993; Bowen_1991; Enright_2011
Proteaceae,Grevillea eriostachya,Sm,Cluster,None,No,Soil,Resprouter,23.2,Brundrett_2008; Dinkelaker_1995; Lamont_1972,Bell_1993; Veber_2016; D’Agui_2017,Bell_1993; D’Agui_2017; Bowen_1991
